state_abbreviation,congressional_district,2018 Two-Party D Share,All Money
SD,1,0.3737401859791748,5613155.0
TN,1,0.21428993558300335,3.3295303e7
TN,1,0.21428993558300335,6370157.0
TN,2,0.3339498466423144,1447061.0
TN,3,0.35122677134673336,2051212.0
TN,4,0.34635827994391893,739411.0
TN,5,0.6784739170225748,1507166.0
TN,6,0.28937412616169095,936826.0
TN,7,0.32439658049036274,1066749.0
TN,8,0.30790617212760263,1425007.0
TN,9,0.8061486336369695,1626537.0
TX,1,0.26702494900360896,4.4752999e7
TX,1,0.26702494900360896,736597.0
TX,2,0.46296782159117217,1.1519726e7
TX,4,0.23326980050148943,1995647.0
TX,5,0.3758833732314617,1642931.0
TX,8,0.25295197524474117,3503591.0
TX,9,1.0,780640.0
TX,11,0.18703794065385712,6492055.0
TX,12,0.3452614484483079,8709414.0
TX,13,0.17188280828964775,7429214.0
TX,14,0.39892020038588993,1400656.0
TX,15,0.6062640648601991,2299113.0
TX,16,0.7169516720057155,1060599.0
TX,18,0.7833197795247131,1110889.0
TX,19,0.24773621803599277,2231946.0
TX,20,1.0,821840.0
TX,26,0.3965605273684587,1856612.0
TX,27,0.3776679084990077,1964764.0
TX,28,1.0,9435987.0
TX,29,0.7583716010525773,730077.0
TX,30,1.0,868323.0
TX,31,0.4852015001316529,3161015.0
TX,32,0.5332496816795476,6866594.0
TX,33,0.7766089373530041,1685118.0
TX,34,0.5998895630050046,1349213.0
TX,35,0.7322844236380679,5261034.0
TX,36,0.27441474886914524,1961903.0
UT,1,0.2877636363636364,1917622.0
UT,2,0.4094916972012162,1084630.0
UT,3,0.28787743033778335,993726.0
VA,1,0.44756627697353746,1.614235e7
VA,1,0.44756627697353746,2358736.0
VA,3,1.0,779146.0
VA,4,0.6353251080081802,1034600.0
VA,6,0.4024796328578035,612749.0
VA,7,0.509821237267426,8406061.0
VA,8,0.7626837758767544,2759993.0
VA,9,0.3478315489167876,644009.0
VA,10,0.5619762688692991,4542915.0
VA,11,0.7252840702283813,4430254.0
VT,1,0.7272730779318963,3274137.0
WA,1,0.592676630312283,2660417.0
WA,2,1.0,1213673.0
WA,4,0.3718225228103809,936114.0
WA,5,0.452400053691778,3319003.0
WA,6,0.6388670508780944,5156593.0
WA,7,0.8356115445131638,2596394.0
WA,8,0.5241505540524569,3529622.0
WA,9,1.0,1159049.0
WI,2,1.0,1475598.0
WI,4,0.7775003953640738,917509.0
WI,5,0.38017439368798145,1628456.0
WI,6,0.44493561584376645,1575757.0
WI,7,0.390450673434516,1.1233783e7
WI,8,0.36286605309196013,3591317.0
WV,1,0.35424843855630783,5857297.0
WV,1,0.35424843855630783,1158333.0
WV,2,0.4433468503639523,2846219.0
WV,3,0.43626596565419895,648921.0
WY,1,0.3188602514558249,7085938.0
