NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
94,169661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78517,89487,148,1506,0,0,0,0,0
95,183212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10280,0,0,172931,0,0,0,0,0
96,177977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77740,0,0,100188,0,48,0,0,0
97,173314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172846,0,0,467,0,0,0,0,0
98,188390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107211,0,0,81179,0,0,0,0,0
99,193830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129832,0,0,31277,0,32720,0,0,0
100,168062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4165,0,0,163205,0,691,0,0,0
101,173532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,94,4,173425,0,0,0
102,191185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28612,0,0,0,0,162573,0,0,0
103,168200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4340,0,0,0,0,163856,3,0,0
104,174201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59766,110751,3683,0,0
105,191955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70154,121800,0,0,0
106,179826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179799,4,0,21,0
107,179468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179461,0,6,0,0
108,191407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179548,0,11859,0,0
109,181627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96625,0,67715,17286,0
110,179683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1792,6,177884,0,0
111,184610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,157082,771,26751
112,172966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,137351,34848,0
113,182720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10410,0,730,171579,0
114,180062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,179782,0
115,175502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173806,1696
116,179188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,134171,43895
117,136722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37939,98782
118,184106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6906,177199
119,186099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,186098
120,223504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2531,348,220623
