NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
50,199073,0,0,0,0,0,0,0,0,0,24188,0,0,0,0,0,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30367,0,143774,0
51,195478,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,158431,0,36934,0
52,188760,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,25115,0,0,0,0,0,0,0,0,0,0,0,0,0,163641,0,0,0,0,0,0,0
53,205567,0,0,0,0,0,0,0,0,0,0,40150,0,0,0,0,0,0,0,0,0,78392,0,87017,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
54,185665,0,0,0,0,0,0,0,0,0,0,123448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62216,0,0,0,0,0,0,0
55,170034,0,0,0,0,0,0,0,0,0,0,41416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128618,0,0,0,0,0,0,0
56,190031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190029,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,176021,0,0,0,2471,0,0,0,0,0,0,0,0,28151,0,0,0,0,0,0,0,0,0,0,0,0,145397,0,0,0,0,0,0,0,0,0,0,0,0
58,180317,0,0,0,0,0,43869,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,136446,0,0,0,0,0,0,0,0,0,0,0,0,0
59,186255,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,102249,0,0,0,0,0,84000,0,0,0,0,0,0,0
60,176603,0,0,0,0,0,0,0,0,0,0,0,108423,0,0,0,0,0,0,0,0,0,0,0,0,68178,1,0,0,0,0,0,0,0,0,0,0,0,0
61,194350,0,0,134329,60020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,184615,10763,0,1,173847,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,192295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,186716,0,0,0,0,0,5574,0,0,0,0,0,0
64,189016,0,0,0,0,0,0,0,0,0,0,0,1,114392,0,0,0,0,0,0,0,0,0,0,0,0,74621,0,0,0,0,0,0,0,0,0,0,0,0
