NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
94,133055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133055,0,0,0,0,0,0,0,0,0
95,130507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130500,6,0,0,0,0,0,0,0,0
96,134790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134765,25,0,0,0,0,0,0,0,0
97,135104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135104,0,0,0,0,0,0,0,0,0
98,140934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51689,89241,4,0,0,0,0,0,0,0
99,124127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14854,109272,0,0,0,0,0,0,0,0
100,133979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60365,73613,0,0,0,0,0,0,0
101,133185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105352,23375,0,2293,2165,0,0,0,0
102,135880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71336,21055,43487,0,0,0,0,0
103,131994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82699,49295,0,0,0,0,0,0,0
104,137167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137167,0,0,0,0,0,0,0,0
105,134933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43306,91627,0,0,0,0,0,0,0,0
106,140055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97263,42790,0,0,0,0,0,0,0
107,128961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18797,31686,78477,0,0,0,0,0
108,129529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106328,23200,0,0,0,0,0
109,133728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133728,0,0,0,0,0,0
110,132943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132943,0,0,0,0,0,0
