candidate_id,state_abbreviation,congressional_district,candidate_party,voteshare,final_voteshare,state_abbreviation,congressional_district,race_total_for,race_total_against,race_total_cands,disbursement,ind_support,ind_oppose,party_expenditures,candidate_diff_spend,result_vs_forecast
"H8IL13150","IL",13,"Democrat",47.7,49.6,"IL",13,6997408.0,7218950.0,2,2189440.0,315636.0,1038128.0,90000,0.6173098623430839,1.8999999999999986
"H8OH14111","OH",14,"Democrat",46.12,44.8,"OH",14,4585566.0,91812.0,2,1430460.0,65637.0,90950.0,4259,0.3209528928386801,-1.3200000000000003
"H0MN04049","MN",4,"Other",67.09,66.0,"MN",4,905452.0,8225.0,3,364474.0,9509.0,8225.0,0,0.40931642144871766,-1.0900000000000034
"H6OH11160","OH",11,"Republican",19.41,17.8,"OH",11,684331.0,0.0,2,1614.0,0.0,0.0,0,2.3585077981269297e-3,-1.6099999999999994
"H8PA14065","PA",14,"Democrat",40.71,42.1,"PA",14,1989438.0,0.0,2,316505.0,78.0,0.0,0,0.15913187543416785,1.3900000000000006
"H0TX17104","TX",17,"Republican",59.58,56.8,"TX",17,1191849.0,862.0,3,404757.0,1033.0,0.0,0,0.340586277815833,-2.780000000000001
"H8IL14067","IL",11,"Democrat",67.64,63.8,"IL",11,1719586.0,0.0,2,314305.0,103.0,0.0,0,0.1828393578454349,-3.8400000000000034
"H0MI02094","MI",2,"Republican",56.27,55.3,"MI",2,2967380.0,862.0,3,745864.0,1371.0,0.0,0,0.25188849157177884,-0.970000000000006
"H0OH06189","OH",6,"Republican",67.48,69.3,"OH",6,1729544.0,862.0,2,665025.0,1095.0,0.0,0,0.38544827052148456,1.8199999999999932
"H6NJ08118","NJ",9,"Democrat",71.6,70.3,"NJ",9,1171555.0,0.0,2,214060.0,104.0,0.0,0,0.18280319745978635,-1.2999999999999972
"H8FL15107","FL",8,"Republican",59.43,60.5,"FL",8,1014069.0,862.0,2,375131.0,4021.0,0.0,0,0.37442348297568995,1.0700000000000003
"H0MO07113","MO",7,"Republican",66.67,66.2,"MO",7,1492603.0,862.0,3,233337.0,166.0,0.0,0,0.15663842138918554,-0.46999999999999886
"H8MO09153","MO",3,"Republican",65.11,65.1,"MO",3,2356908.0,862.0,3,1125920.0,305.0,0.0,0,0.4778481361625604,-1.0000000000005116e-2
"H0OH18077","OH",7,"Republican",56.3,58.7,"OH",7,4621569.0,402656.0,2,1547139.0,1099.0,216137.0,0,0.34527852554374056,2.4000000000000057
"H8FL02097","FL",2,"Democrat",34.27,32.6,"FL",2,1275751.0,862.0,2,74850.0,0.0,0.0,0,5.9306931701306506e-2,-1.6700000000000017
"H2IL01042","IL",1,"Democrat",71.59,73.5,"IL",1,552298.0,0.0,3,34478.0,36.0,0.0,0,6.249162589761324e-2,1.9099999999999966
"H4NJ12149","NJ",12,"Democrat",71.22,68.7,"NJ",12,769653.0,0.0,2,126081.0,104.0,0.0,0,0.1639505075663968,-2.519999999999996
"H6CA24113","CA",30,"Democrat",76.65,73.4,"CA",30,552185.0,0.0,2,48678.0,103.0,0.0,0,8.834176951565145e-2,-3.25
"H2OH02085","OH",2,"Republican",56.43,57.6,"OH",2,1961997.0,862.0,3,637089.0,865.0,0.0,0,0.3252322250350127,1.1700000000000017
"H2IL10068","IL",10,"Democrat",66.71,65.6,"IL",10,3801934.0,0.0,2,780747.0,46.0,0.0,0,0.20536732094770713,-1.1099999999999994
"H8SC04375","SC",4,"Republican",31.91,36.6,"SC",4,2201333.0,949016.0,3,0.0,0.0,0.0,0,0.15062077249219055,4.690000000000001
"H2MI14111","MI",14,"Democrat",79.12,80.9,"MI",14,466781.0,0.0,2,73048.0,213.0,0.0,0,0.15694940453874515,1.7800000000000011
"H4PA13199","PA",2,"Democrat",78.62,79.0,"PA",2,865593.0,73.0,2,126378.08,261.0,73.0,0,0.14629092513740866,0.37999999999999545
"H8IL12129","IL",12,"Democrat",47.79,45.4,"IL",12,6682624.0,6128810.0,3,1976633.0,777443.0,2619584.0,90000,0.3589519330935163,-2.3900000000000006
"H8PA13133","PA",13,"Democrat",31.53,29.5,"PA",13,1391450.0,698236.0,2,17146.0,0.0,0.0,0,0.3423394710975716,-2.030000000000001
"H8KY02031","KY",2,"Republican",61.61,66.7,"KY",2,1828333.0,862.0,3,681311.0,0.0,0.0,0,0.37270055953575204,5.090000000000003
"H6TX02079","TX",36,"Republican",69.72,72.6,"TX",36,1622280.0,862.0,2,174057.0,1335.0,0.0,0,0.10858815802930366,2.8799999999999955
"H8HI02141","HI",2,"Republican",21.01,22.6,"HI",2,1412453.0,0.0,2,0.0,0.0,0.0,0,0.0,1.5899999999999999
"H6PA08277","PA",1,"Republican",51.77,51.3,"PA",1,1.5688069e7,1.2763149e7,2,1926094.0,1555526.0,2762289.0,95000,0.477219639595043,-0.47000000000000597
"H4NY27076","NY",26,"Democrat",73.17,73.1,"NY",26,885770.0,0.0,2,167708.0,0.0,0.0,0,0.18933583210088398,-7.000000000000739e-2
