StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
"HI",15,1,714328,43815,26733,33792,21830,164984,119942,159642,143590
"HI",15,2,713210,62635,59187,53524,55597,154617,84437,144686,98527
"ID",16,1,890052,229800,168224,220882,180247,36152,10983,30716,13048
"ID",16,2,826891,238878,137434,226212,144334,30279,10970,29421,9363
"IL",17,1,720977,81773,64344,84072,71174,115471,73078,128453,102612
"IL",17,2,702756,65132,59992,65541,64624,134896,68460,143708,100403
"IL",17,3,725538,155316,115020,146835,129016,70333,23245,58723,27050
"IL",17,4,700585,130806,66997,127426,69752,109642,43972,106738,45252
"IL",17,5,729300,181556,108262,180602,112801,51508,21016,50251,23304
"IL",17,6,720542,156360,129704,149888,144343,47057,21068,47160,24962
"IL",17,7,697263,88095,47340,84892,48939,132906,65604,140438,89049
"IL",17,8,713012,136509,98430,114952,117855,87736,33519,88653,35358
"IL",17,9,732614,143639,115223,135285,132960,63632,36257,68123,37495
"IL",17,10,714681,136590,109102,126132,123397,77566,32422,74541,34931
"IL",17,11,721823,139539,93749,135043,104866,89841,35447,81886,41452
"IL",17,12,695178,147087,120694,137337,133468,55304,22493,52083,26712
"IL",17,13,698295,162214,118155,151226,134570,51156,14842,50864,15268
"IL",17,14,746748,179037,139626,179297,148828,35327,13945,38065,12623
"IL",17,15,701482,176839,145287,169926,157272,20550,8222,18022,5364
"IL",17,16,690420,167289,139930,161945,152305,26850,7984,26438,7679
"IL",17,17,689744,147488,131264,142845,146942,46353,14959,42046,17847
"IL",17,18,701065,168618,140423,169345,156782,25886,8924,22853,8234
"IN",18,1,714257,134613,113064,126606,123690,72216,31105,73583,39380
"IN",18,2,722928,175837,131083,173707,144057,36982,10757,36647,13858
"IN",18,3,744914,190653,132921,181702,146591,34388,11202,33618,13839
"IN",18,4,758815,200166,136557,185675,151004,34026,9369,32693,9325
"IN",18,5,781441,183730,134504,186313,149487,45203,18211,44181,19812
"IN",18,6,720147,185098,146011,179351,160317,19897,5536,16393,7544
"IN",18,7,755875,142316,84704,138958,96376,100623,36017,108710,48171
"IN",18,8,714623,183846,140774,175459,154562,21827,8665,21532,7958
"IN",18,9,753818,200504,139740,191161,156760,26433,7574,23353,8293
"IA",19,1,774043,195158,153481,187912,168087,27495,6584,27967,7359
"IA",19,2,780802,199470,148876,187551,163220,31860,7852,32834,9139
"IA",19,3,835190,214204,146147,209334,162828,42337,9916,38944,11480
"IA",19,4,755676,194742,151862,182703,165491,25551,6730,21000,7597
"KS",20,1,702327,191834,124135,179689,134466,31126,9132,23944,8001
"KS",20,2,715120,178832,130531,169592,145079,35592,13117,29923,12454
"KS",20,3,770493,182720,120995,180524,136300,55786,19146,52649,22373
"KS",20,4,725183,170071,120417,165356,131674,51667,17472,48025,20501
"KY",21,1,716177,178146,137534,166686,154138,28832,11935,26290,12616
"KY",21,2,760681,192831,142265,186359,156740,29297,9880,31022,12287
"KY",21,3,746559,146117,112345,141629,130130,72743,29899,75748,37948
"KY",21,4,760043,197711,145286,193838,159712,27188,6606,21566,8136
"KY",21,5,696337,187868,145263,178244,160778,10177,3562,6783,3662
"KY",21,6,774392,193492,127730,191197,146631,41981,16162,38932,18267
"LA",22,1,808968,170889,133437,168838,149253,63094,25409,69546,28502
"LA",22,2,797298,67456,55600,64949,57609,171181,88084,177551,114868
"LA",22,3,788118,160298,111078,156335,124354,80581,31994,80997,42481
"LA",22,4,753143,131833,97342,120865,106617,96123,46060,97925,56378
"LA",22,5,740217,127469,97948,115820,109222,101114,42562,95366,50716
"LA",22,6,796589,164264,113874,157448,128020,81837,30168,85026,35952
"ME",23,1,683279,161495,151383,157165,173487,13904,5020,15814,5011
"ME",23,2,652628,151795,153493,147086,165707,13983,3690,12756,4118
"MD",24,1,734002,154126,143466,147959,156824,44356,21639,39828,25804
"MD",24,2,765155,108545,85164,106789,100744,124184,46443,131250,62036
"MD",24,3,763763,124959,99378,123689,112809,98429,40426,107286,56787
"MD",24,4,761353,63338,50400,56203,54699,163052,92734,167580,113347
"MD",24,5,768507,102560,82208,98741,87857,125211,66006,122633,83291
"MD",24,6,779616,136898,112456,127397,126996,96733,45600,87975,45561
"MD",24,7,718158,68566,59788,66226,63505,132568,82643,140260,104602
"MD",24,8,761623,125997,114802,128729,130665,86183,36964,86130,52153
"MA",25,1,736460,157695,139714,163385,163043,42039,13904,39938,16742
"MA",25,2,744124,164971,136125,159829,155243,46621,15608,49023,16704
"MA",25,3,769115,174781,133372,161395,150714,53241,23025,50271,22316
"MA",25,4,752077,162065,145733,171306,163284,38802,14748,41559,14580
"MA",25,5,766210,157190,122647,157214,143008,65710,24154,68849,27438
"MA",25,6,774450,164354,156725,160954,183667,42262,12599,37791,16098
"MA",25,7,806820,141946,63799,138432,66210,132459,54643,138294,71037
