StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMalePct,OldWhiteMalePct,YoungWhiteFemalePct,OldWhiteFemalePct,YoungNonWhiteMalePct,OldNonWhiteMalePct,YoungNonWhiteFemalePct,OldNonWhiteFemalePct
"CA",6,42,826899,0.17469001655583088,0.11212614841715857,0.16928306842794583,0.12361969236871734,0.14907503818483273,5.940386915451585e-2,0.14864814203427504,6.315402485672374e-2
"CA",6,43,745656,0.112046305534992,6.1579334170180355e-2,0.10229381913375604,7.359023463902925e-2,0.20153261021167937,0.10553526022723617,0.20902265924233157,0.1343997768407952
"CA",6,44,717097,0.13677647514910815,7.038238899339978e-2,0.1280496222965652,7.424239677477384e-2,0.1954254445353976,8.199309159011961e-2,0.2101514857822582,0.10297909487837768
"CA",6,45,777871,0.16082743796850635,0.13747523689660626,0.16021936799289344,0.1489797151455704,0.1257753534969166,5.900464215788993e-2,0.13578343967058806,7.1934806671029e-2
"CA",6,46,734649,0.1769525310726619,8.53931605433343e-2,0.16159281507223178,9.180846907843065e-2,0.17239116911613572,7.063373121041477e-2,0.16529798584085734,7.593013806593353e-2
"CA",6,47,723526,0.15445332994253144,0.1103277560170609,0.15142510428097955,0.12029007941663464,0.1430301053452122,7.947330158142209e-2,0.15128136376578036,8.971895965037885e-2
"CA",6,48,721632,0.16862057114983814,0.16332840007095029,0.1640406744711986,0.1807597224069886,9.671688616912777e-2,6.0501751585295555e-2,9.842828477672833e-2,6.760370936987273e-2
"CA",6,49,747350,0.21847193416739144,0.16943065498093263,0.1873820833612096,0.18637318525456617,8.78758279253362e-2,3.4897972837358675e-2,7.368970361945541e-2,4.187863785374992e-2
"CA",6,50,754388,0.21565427870008536,0.16174567994188666,0.2137918418638685,0.1739993213041565,8.610820956855093e-2,3.120940417928175e-2,8.059778257342376e-2,3.6893481868746594e-2
"CA",6,51,746496,0.2275069122942387,0.10216263717421124,0.21088659550754457,0.11236898791152264,0.12854322059327847,5.447182570301783e-2,9.918338477366255e-2,6.487643604252401e-2
"CA",6,52,768240,0.20234692283661357,0.132854316359471,0.18303004269499115,0.14599213787358117,0.11894069561595334,4.92801728626471e-2,0.11199755284806832,5.5558158908674375e-2
"CA",6,53,774182,0.19448398438610043,0.12009966648669176,0.1824273878752025,0.12747519317163147,0.1259807125456288,5.0701256293739706e-2,0.13708146146513353,6.175033777587182e-2
"CO",8,1,826995,0.25816601067721084,0.13509029679744133,0.24056130931867784,0.14510849521460226,7.527373200563486e-2,3.297964316591999e-2,7.760022732906487e-2,3.5220285491447956e-2
"CO",8,2,799734,0.26801661552466194,0.1948772967011531,0.2452315394868794,0.20377775610390456,3.255082314869694e-2,9.27683454748704e-3,3.4036317075427584e-2,1.223281741178942e-2
"CO",8,3,749478,0.24744955822585857,0.1969157200077921,0.2314117292302109,0.2093376990385308,3.8163895404534895e-2,1.8376790246011222e-2,3.9255321703905915e-2,1.9089286143155637e-2
"CO",8,4,817251,0.2720082324769257,0.17903801891952412,0.2605099290181352,0.1863319836867743,4.132757255726821e-2,1.3511148961579735e-2,3.356373990365261e-2,1.3709374476140132e-2
"CO",8,5,799622,0.2487537861639625,0.16162386727728853,0.2255540743001068,0.1735745139578451,7.855586764746343e-2,2.207793182278627e-2,6.56185047434913e-2,2.4241454087056136e-2
"CO",8,6,814636,0.22338688690408967,0.144600778752719,0.20868707005337353,0.16087062197103982,9.60956795427651e-2,3.3567139188545564e-2,9.48055327778296e-2,3.7986290809637675e-2
"CO",8,7,799438,0.2754597604817384,0.15986605590427275,0.2628946835151694,0.17957490136821116,4.430487417410731e-2,1.9353595901120537e-2,3.834068433074234e-2,2.0205444324638062e-2
"CT",9,1,710509,0.16937716482127602,0.1597164849424849,0.16466223510187766,0.1906942769197857,0.11091062885902923,4.47580537333095e-2,0.10555531316281708,5.4325842459419946e-2
"CT",9,2,705217,0.21883193400045656,0.20554666152404152,0.20762687229604504,0.22617151883746425,5.3265874191915405e-2,2.0030713950457798e-2,4.624392208355726e-2,2.2282503116062148e-2
"CT",9,3,716547,0.18414563175897744,0.1699148834619362,0.18181221887747767,0.19264053858295407,9.248800148489911e-2,3.632839157794255e-2,0.1005502779301288,4.212005632568415e-2
"CT",9,4,737616,0.1949496757120236,0.16588577254289494,0.187316977939741,0.18705803561744863,8.838474219648164e-2,3.678878983102319e-2,9.262136396173619e-2,4.699464219865079e-2
"CT",9,5,718295,0.19621464718534865,0.18866203996965036,0.1899734788631412,0.2147794429865167,7.456407186462387e-2,2.8879499370035987e-2,7.073416910879235e-2,3.6192650651890944e-2
"DE",10,0,961939,0.17414929636910448,0.16075447611542937,0.1716553752368913,0.18172150209108895,0.1020231012569404,4.700194087151056e-2,0.10342339794935022,5.9270910109684716e-2
"DC",11,98,693972,0.14298415498031622,6.057160807640654e-2,0.1497221789928124,5.673283648331633e-2,0.1791095317966719,9.152962943749891e-2,0.19656844944752813,0.12278161078544957
"FL",12,1,770361,0.21334672965012508,0.17226728767422028,0.19465419459188615,0.18363987792736133,8.52042094550477e-2,3.3397329304053563e-2,7.7187188863403e-2,4.030318253390294e-2
"FL",12,2,731845,0.213218646024773,0.1948035444663829,0.19498117770839457,0.2053426613558882,7.07403890168e-2,3.2076464278638236e-2,5.7017537866624765e-2,3.1819579282498345e-2
"FL",12,3,739130,0.21119965364685508,0.1622109777711634,0.2037368257275445,0.17858022269424864,8.502563825037544e-2,3.547413851419912e-2,8.213440125553016e-2,4.1638142140083614e-2
"FL",12,4,800494,0.22065999245465923,0.18002508451031488,0.21162557120977796,0.1998166132413235,6.290990313481425e-2,2.761045054678736e-2,6.62291035285711e-2,3.112328137375171e-2
"FL",12,5,729175,0.13438612130147085,8.924880858504475e-2,0.12479171666609525,9.690403538245278e-2,0.1878122535742449,7.421812322144891e-2,0.1928041965234683,9.983474474577433e-2
"FL",12,6,764500,0.18044996729888815,0.22317462393721388,0.1711131458469588,0.25311968606932633,5.605101373446697e-2,2.823021582733813e-2,5.688423806409418e-2,3.0977109221713543e-2
"FL",12,7,772969,0.22103861862506777,0.1516671431842674,0.2177034266574727,0.17572891021502804,8.486239422279548e-2,2.9332353561397677e-2,8.267731306171398e-2,3.698984047225697e-2
"FL",12,8,756993,0.17999902244802793,0.2252596787552857,0.1731667267729028,0.2539230877960562,5.2966143676361606e-2,2.7013459833842585e-2,5.2605506259635164e-2,3.5066374457887996e-2
"FL",12,9,868945,0.2064526523542917,0.14797023977351847,0.20487948028931635,0.16902450672942476,9.452727157645191e-2,4.187491728475335e-2,8.911381042528584e-2,4.6157121566957636e-2
"FL",12,10,830014,0.16304182821012658,0.1043030599483864,0.1581407060603797,0.1148811947750279,0.15555641230147926,6.691332917276094e-2,0.16218521615298057,7.497825337885869e-2
