Year,Group,Population,Citizen,Registered,RegisteredPct,NotRegistered,NotRegisteredPct,NoResponeToRegistration,NoResponseToRegistrationPct,Voted,VotedPct,NotVoted,NotVotedPct,NoResponseVoted,NoResponseVotedPct,RegisteredPctOfAll,VotedPctOfAll
2012,M75AndOverBA,1171,1145,975,85.2,33,2.9,137,11.9,916,80.0,100,8.7,129,11.3,83.3,78.2
2012,M75AndOverAD,938,903,785,86.9,23,2.5,95,10.5,757,83.8,49,5.5,97,10.7,83.7,80.7
2012,F75AndOverL9,1237,1081,665,61.5,296,27.4,120,11.1,473,43.7,507,46.9,101,9.3,53.8,38.2
2012,F75AndOverL12,1242,1203,862,71.6,222,18.5,119,9.9,707,58.8,389,32.3,107,8.9,69.4,57.0
2012,F75AndOverHS,4504,4438,3458,77.9,475,10.7,504,11.4,2989,67.4,996,22.4,453,10.2,76.8,66.4
2012,F75AndOverSC,2241,2216,1850,83.5,111,5.0,255,11.5,1685,76.1,293,13.2,237,10.7,82.5,75.2
2012,F75AndOverBA,1087,1061,873,82.3,42,4.0,146,13.8,819,77.2,105,9.9,137,12.9,80.3,75.3
2012,F75AndOverAD,584,572,490,85.6,14,2.4,68,12.0,469,82.0,41,7.1,63,10.9,83.9,80.4
2014,M18To24L9,223,134,2,1.8,58,43.1,74,55.0,-,-,67,50.0,67,50.0,1.1,-
2014,M18To24L12,2004,1771,376,21.2,858,48.4,537,30.3,130,7.3,1147,64.8,494,27.9,18.8,6.5
2014,M18To24HS,5091,4679,1688,36.1,1831,39.1,1160,24.8,539,11.5,3176,67.9,963,20.6,33.1,10.6
2014,M18To24SC,6208,5837,2879,49.3,1682,28.8,1275,21.9,1193,20.4,3440,58.9,1204,20.6,46.4,19.2
2014,M18To24BA,1267,1150,670,58.2,280,24.3,201,17.4,307,26.7,617,53.7,226,19.6,52.9,24.3
2014,M18To24AD,109,81,46,56.5,22,26.8,14,16.7,20,24.5,46,56.2,16,19.3,42.3,18.3
2014,F18To24L9,136,95,3,3.2,37,39.5,54,57.3,-,-,45,47.7,50,52.3,2.2,-
2014,F18To24L12,1784,1580,402,25.5,687,43.5,490,31.0,161,10.2,973,61.6,445,28.2,22.5,9.0
2014,F18To24HS,4133,3907,1307,33.4,1675,42.9,926,23.7,490,12.5,2571,65.8,846,21.6,31.6,11.9
2014,F18To24SC,6759,6504,3205,49.3,1873,28.8,1426,21.9,1335,20.5,3837,59.0,1332,20.5,47.4,19.7
2014,F18To24BA,1799,1676,978,58.4,356,21.3,342,20.4,521,31.1,801,47.8,354,21.1,54.4,28.9
2014,F18To24AD,146,126,55,43.3,30,23.6,42,33.0,25,19.7,60,47.3,42,33.0,37.6,17.1
2014,M25To44L9,1615,439,82,18.7,222,50.5,135,30.8,28,6.4,280,63.9,131,29.7,5.1,1.7
2014,M25To44L12,2880,2084,723,34.7,981,47.1,380,18.2,201,9.7,1560,74.9,323,15.5,25.1,7.0
2014,M25To44HS,11427,10035,4765,47.5,3182,31.7,2088,20.8,1981,19.7,6184,61.6,1870,18.6,41.7,17.3
2014,M25To44SC,10828,10163,6198,61.0,2151,21.2,1814,17.8,3174,31.2,5320,52.3,1669,16.4,57.2,29.3
2014,M25To44BA,9264,8545,5823,68.1,1296,15.2,1426,16.7,3520,41.2,3670,42.9,1356,15.9,62.9,38.0
2014,M25To44AD,4322,3556,2534,71.3,504,14.2,518,14.6,1693,47.6,1362,38.3,501,14.1,58.6,39.2
2014,F25To44L9,1315,363,78,21.5,191,52.5,94,25.9,27,7.4,242,66.6,94,26.0,6.0,2.0
2014,F25To44L12,2356,1638,632,38.6,667,40.7,339,20.7,190,11.6,1140,69.6,307,18.8,26.8,8.1
2014,F25To44HS,9500,8336,4178,50.1,2453,29.4,1705,20.5,1781,21.4,5023,60.3,1532,18.4,44.0,18.8
2014,F25To44SC,12109,11509,7460,64.8,2264,19.7,1785,15.5,3761,32.7,6084,52.9,1665,14.5,61.6,31.1
2014,F25To44BA,10433,9619,6831,71.0,1225,12.7,1564,16.3,4273,44.4,3907,40.6,1439,15.0,65.5,41.0
2014,F25To44AD,5837,5107,3882,76.0,503,9.8,723,14.1,2579,50.5,1785,35.0,743,14.6,66.5,44.2
2014,M45To64L9,1764,999,450,45.0,413,41.3,137,13.7,216,21.6,660,66.0,124,12.4,25.5,12.2
2014,M45To64L12,2931,2526,1174,46.5,955,37.8,396,15.7,550,21.8,1636,64.8,340,13.4,40.0,18.8
2014,M45To64HS,12559,11878,7219,60.8,2639,22.2,2020,17.0,4560,38.4,5390,45.4,1928,16.2,57.5,36.3
2014,M45To64SC,10221,9807,7105,72.5,1229,12.5,1473,15.0,5123,52.2,3260,33.2,1424,14.5,69.5,50.1
2014,M45To64BA,7909,7515,5880,78.2,549,7.3,1086,14.5,4597,61.2,1817,24.2,1101,14.7,74.3,58.1
2014,M45To64AD,4753,4478,3631,81.1,240,5.4,607,13.6,3009,67.2,875,19.5,594,13.3,76.4,63.3
2014,F45To64L9,1682,888,375,42.3,353,39.8,159,17.9,192,21.7,553,62.2,143,16.1,22.3,11.4
2014,F45To64L12,2646,2203,1184,53.7,711,32.3,308,14.0,593,26.9,1340,60.8,270,12.3,44.7,22.4
2014,F45To64HS,12498,11710,7613,65.0,2181,18.6,1917,16.4,4699,40.1,5209,44.5,1802,15.4,60.9,37.6
2014,F45To64SC,12021,11733,8877,75.7,1214,10.3,1642,14.0,6106,52.0,3985,34.0,1642,14.0,73.8,50.8
2014,F45To64BA,8694,8248,6523,79.1,528,6.4,1197,14.5,5172,62.7,1873,22.7,1203,14.6,75.0,59.5
2014,F45To64AD,5093,4896,4077,83.3,179,3.6,641,13.1,3294,67.3,917,18.7,686,14.0,80.1,64.7
2014,M65To74L9,591,466,264,56.7,139,29.9,63,13.4,156,33.5,251,53.8,59,12.7,44.7,26.4
2014,M65To74L12,932,886,526,59.4,235,26.6,125,14.1,349,39.4,418,47.1,119,13.5,56.5,37.5
2014,M65To74HS,3476,3375,2384,70.6,501,14.8,490,14.5,1860,55.1,1041,30.8,474,14.0,68.6,53.5
2014,M65To74SC,3163,3127,2462,78.7,297,9.5,368,11.8,2058,65.8,719,23.0,351,11.2,77.8,65.1
2014,M65To74BA,2286,2213,1854,83.8,118,5.3,241,10.9,1602,72.4,376,17.0,235,10.6,81.1,70.1
2014,M65To74AD,1992,1962,1639,83.6,73,3.7,249,12.7,1468,74.9,245,12.5,248,12.6,82.3,73.7
2014,F65To74L9,739,544,276,50.8,185,34.1,82,15.1,146,26.9,328,60.4,69,12.7,37.4,19.8
2014,F65To74L12,1093,1020,649,63.6,205,20.1,166,16.3,359,35.2,505,49.5,156,15.3,59.4,32.9
2014,F65To74HS,4848,4747,3467,73.0,580,12.2,700,14.7,2564,54.0,1480,31.2,703,14.8,71.5,52.9
2014,F65To74SC,3600,3548,2869,80.9,254,7.2,425,12.0,2365,66.7,773,21.8,410,11.6,79.7,65.7
2014,F65To74BA,2266,2225,1844,82.9,85,3.8,295,13.3,1572,70.6,350,15.7,303,13.6,81.4,69.4
