StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
"CO",8,6,813566,171405,114995,169983,127744,86927,29483,80938,32091
"CO",8,7,789772,214614,129502,202338,143150,37607,13919,33420,15222
"CT",9,1,712461,124531,111558,126310,130599,75496,29620,75819,38528
"CT",9,2,705034,157189,144151,149167,158561,39242,12432,31412,12880
"CT",9,3,717162,133047,118542,132346,136938,71100,25993,66334,32862
"CT",9,4,732469,141301,119983,141723,133751,67459,27081,67281,33890
"CT",9,5,709326,143449,140086,137242,161418,45380,17513,43975,20263
"DE",10,0,952065,168995,152224,165487,172385,95531,43482,98092,55869
"DC",11,98,681170,97614,41215,100222,38217,121320,63442,135429,83711
"FL",12,1,762506,164959,131591,148676,140189,63510,24555,58639,30387
"FL",12,2,720418,153252,143308,140965,151045,47876,24782,35414,23776
"FL",12,3,732088,159766,118500,150680,129443,61616,23768,58459,29856
"FL",12,4,778620,174073,139666,169076,155481,48362,19705,49347,22910
"FL",12,5,728346,101768,64041,91203,70588,133784,52590,145864,68508
"FL",12,6,765005,141577,169896,137054,195076,41227,18846,38629,22700
"FL",12,7,762326,175565,114449,171322,132498,59796,22814,56660,29222
"FL",12,8,744430,133463,167899,130240,187781,38803,21423,39980,24841
"FL",12,9,832753,181608,126716,173544,138969,68461,28140,80456,34859
"FL",12,10,791447,136499,88649,131680,94723,112423,49133,118597,59743
"FL",12,11,758331,112722,201689,113543,231385,33986,16937,28709,19360
"FL",12,12,760472,151951,171852,150442,199153,29859,14320,28296,14599
"FL",12,13,728996,123691,153972,125744,172525,49837,22732,50866,29629
"FL",12,14,769968,150456,107271,156225,116486,82503,31215,85322,40490
"FL",12,15,762822,165067,124867,154890,135585,61657,26577,63459,30720
"FL",12,16,803454,148514,176072,141898,206330,44774,18316,44836,22714
"FL",12,17,768138,131980,193899,129721,211037,35293,18896,29962,17350
"FL",12,18,754652,136149,164314,128781,184398,46032,22179,46052,26747
"FL",12,19,799332,141889,194046,134273,217242,38806,14042,40673,18361
"FL",12,20,794621,90334,66358,83388,73990,157488,73202,160783,89078
"FL",12,21,758201,131245,149414,125843,175880,55952,25967,61518,32382
"FL",12,22,737019,125064,153330,117415,157762,59041,26199,64274,33934
"FL",12,23,749377,140991,126717,141700,146665,63048,28216,63019,39021
"FL",12,24,749624,91199,67613,87841,70175,133315,73268,137613,88600
"FL",12,25,763628,185227,149094,176336,173301,23856,14754,24233,16827
"FL",12,26,788816,184766,125368,183397,147423,49800,22453,47399,28210
"FL",12,27,747049,174034,138528,165382,160848,38411,19387,29121,21338
"GA",13,1,734172,138541,93222,127477,103248,91430,37686,93119,49449
"GA",13,2,672244,77850,64334,72007,69815,127420,57939,130255,72624
"GA",13,3,729810,138715,107264,135318,121257,73619,31121,81597,40919
"GA",13,4,752273,63411,46132,61214,55509,167389,75972,180103,102543
"GA",13,5,747809,79987,42629,75513,40778,165664,75704,171951,95583
"GA",13,6,756004,140043,114739,134445,122685,84058,32488,90295,37251
"GA",13,7,789864,124709,88216,116706,95198,128146,47528,134177,55184
"GA",13,8,710108,128525,93648,123251,105150,87773,36966,89858,44937
"GA",13,9,736075,174229,143226,168388,155861,32563,14099,32380,15329
"GA",13,10,741464,148884,103266,147772,109532,76073,33667,79609,42661
"GA",13,11,764184,162488,111946,158453,123184,77732,23819,76735,29827
"GA",13,12,719970,123557,85951,116120,93644,102836,43602,101826,52434
"GA",13,13,746218,58071,52407,57099,60032,170279,66406,192542,89382
"GA",13,14,710176,175160,119384,169509,135162,39689,15948,37605,17719
"HI",15,1,706501,42577,27453,31762,21685,168709,114165,162765,137385
"HI",15,2,722056,63889,58585,55721,56322,153300,89379,144080,100780
"ID",16,1,864758,225357,167206,206618,176007,34158,10590,35131,9691
"ID",16,2,818382,230095,132442,228635,143759,31016,10339,31251,10845
"IL",17,1,691474,82417,62537,76801,71016,108874,68520,123794,97515
"IL",17,2,713917,66968,60024,69090,68715,137790,69384,146500,95446
"IL",17,3,720930,149317,114603,138014,127959,71363,26291,66178,27205
"IL",17,4,695098,131077,65459,119178,69430,112163,43779,110970,43042
"IL",17,5,723373,189119,102239,187620,114707,46994,18273,43657,20764
"IL",17,6,722323,159920,134108,153385,151899,41235,17946,42844,20986
"IL",17,7,723481,81125,45307,85617,44598,147735,69576,152867,96656
"IL",17,8,717789,129753,101313,123760,111166,96804,34138,88409,32446
"IL",17,9,724071,136253,113710,135110,129420,67129,33474,71581,37394
"IL",17,10,710610,144477,107613,132799,121009,72825,26987,71542,33358
"IL",17,11,730480,139001,95277,140570,103840,89387,34108,90121,38176
"IL",17,12,693736,149500,118674,139797,133230,52423,22657,50879,26576
"IL",17,13,704699,161904,120717,155239,135561,50890,15276,47796,17316
"IL",17,14,736397,186544,132386,175345,142100,35652,13828,34095,16447
"IL",17,15,700549,177202,143266,171557,156745,20575,6379,18812,6013
"IL",17,16,687998,166365,140534,162062,154618,27769,8594,21010,7046
"IL",17,17,691212,149164,129505,142530,144539,46589,15305,45755,17825
"IL",17,18,713402,174317,142934,170311,159797,25959,8424,24380,7280
"IN",18,1,711958,135865,110442,127831,121334,73010,30526,74113,38837
"IN",18,2,724060,177786,130443,173908,144919,36647,11035,36569,12753
"IN",18,3,740262,189336,131165,183230,145290,33435,11245,33069,13492
"IN",18,4,749049,196437,133937,184959,148176,35925,9873,30057,9685
"IN",18,5,768412,186791,129952,188670,146086,36998,17465,42803,19647
"IN",18,6,720656,185681,144765,179356,159833,20942,6350,16945,6784
"IN",18,7,751554,128601,84212,129386,95079,113446,37742,114608,48480
"IN",18,8,717028,184187,141975,174879,155772,24297,7900,20275,7743
"IN",18,9,750074,197736,139659,193623,155117,25268,6263,24507,7901
"IA",19,1,771008,195035,153204,189842,166926,27230,8017,24305,6449
"IA",19,2,778964,199990,147374,189474,161959,30685,8678,32364,8440
"IA",19,3,824082,213255,144339,207888,160989,38888,10667,37518,10538
"IA",19,4,760639,196723,154617,183856,168691,22814,5152,22646,6140
"KS",20,1,708078,194216,124304,177484,135152,31043,8939,27977,8963
"KS",20,2,716597,176178,129912,166692,145497,39969,12096,32792,13461
"KS",20,3,759978,180771,119885,178014,134880,54446,18319,52088,21575
"KS",20,4,722636,175767,120188,167103,132923,45378,17442,45951,17884
"KY",21,1,717739,176757,138418,169030,155490,28729,11680,25240,12395
"KY",21,2,754967,190826,139489,188730,153130,31295,9744,30324,11429
"KY",21,3,740860,147139,111924,140531,131212,69157,29857,73655,37385
"KY",21,4,754502,199741,142685,195704,155485,23902,6776,21557,8652
"KY",21,5,703315,189860,145563,181710,163820,9985,3125,5949,3303
"KY",21,6,765591,189032,125896,189848,144313,43231,15003,40514,17754
"LA",22,1,803427,169346,135714,169801,153250,62913,21913,65554,24936
"LA",22,2,792390,69489,54756,64292,56711,170758,88978,178741,108665
"LA",22,3,785686,162001,108928,157194,122476,77470,34426,82514,40677
"LA",22,4,753181,131098,96441,120966,105392,99089,45589,97723,56883
"LA",22,5,748306,130033,100990,124928,109927,98109,44812,90908,48599
"LA",22,6,798676,166545,108194,161654,121369,84563,29725,85431,41195
"ME",23,1,676165,160027,150570,154927,170944,14232,4734,15359,5372
"ME",23,2,655314,152104,151932,150904,165712,13432,3671,13024,4535
"MD",24,1,735590,150875,142683,148562,158391,48654,20320,41386,24719
"MD",24,2,764948,116560,89531,115152,100448,111575,47045,123145,61492
"MD",24,3,764166,132298,102773,125411,119818,93938,41405,95888,52635
"MD",24,4,755108,63128,47286,65432,54307,168217,84640,163902,108196
"MD",24,5,758857,104364,83210,96513,87803,117869,66118,120796,82184
"MD",24,6,757889,141626,114121,141467,129097,82274,35807,73659,39838
"MD",24,7,722745,70863,57343,68403,62811,136155,78110,146082,102978
"MD",24,8,757144,131761,117211,130218,127789,82723,37290,82829,47323
"MA",25,1,729294,162255,141377,162832,162458,34180,12973,37106,16113
"MA",25,2,749202,168109,133692,164343,153462,47200,16725,49599,16072
"MA",25,3,761611,162593,131357,161140,148715,59944,21578,53412,22872
"MA",25,4,753156,166189,149342,169297,161613,40689,13449,37328,15249
"MA",25,5,759165,157360,127355,152052,146609,61704,23149,64315,26621
"MA",25,6,766310,158941,153348,157992,178180,47546,14409,41034,14860
"MA",25,7,779173,130447,55819,135003,62682,136125,53590,135265,70242
"MA",25,8,773806,153859,124134,155241,151439,65371,25743,67915,30104
"MA",25,9,740062,152072,159969,148552,190347,30794,12430,34130,11768
"MI",26,1,699621,155531,168440,144814,176658,21934,9015,15805,7424
"MI",26,2,734965,176956,128158,175971,141556,42067,14267,41652,14338
"MI",26,3,733618,180038,127457,172232,137948,42394,16355,39985,17209
"MI",26,4,700487,176094,150417,170058,161365,17984,5702,14112,4755
"MI",26,5,681278,137148,120011,133389,135923,49643,24060,50697,30407
"MI",26,6,716163,166760,131765,161172,145032,38913,15093,41174,16254
"MI",26,7,700983,170827,146016,162712,158321,24885,10170,19314,8738
"MI",26,8,734008,174657,132859,170989,145583,40512,12700,42029,14679
"MI",26,9,711069,145619,126335,135275,142113,54775,19422,59302,28228
"MI",26,10,714802,171612,157189,164950,172116,17127,8749,15468,7591
"MI",26,11,732690,155696,139316,155874,150986,44070,19975,44330,22443
"MI",26,12,708880,162787,109112,158738,126466,55283,18108,55150,23236
"MI",26,13,658383,71891,51470,67576,57147,121103,68962,133738,86496
"MI",26,14,701353,62813,54750,56926,59867,144195,74033,147722,101047
"MN",27,1,672415,170510,130559,163983,141801,27151,6777,25350,6284
"MN",27,2,700264,166573,124707,163567,136556,42035,12360,41339,13127
"MN",27,3,709906,145981,131805,142460,147714,53859,14470,57537,16080
"MN",27,4,702162,132548,107153,128973,124632,83073,20290,82400,23093
"MN",27,5,708082,143517,93783,136014,103868,93863,24012,87256,25769
"MN",27,6,696720,188698,128489,181334,133951,26884,6775,24723,5866
"MN",27,7,668049,166102,140856,156072,148834,23016,5732,21505,5932
"MN",27,8,662354,159762,151213,148520,156031,20014,5379,15251,6184
"MS",28,1,764223,145086,110312,145195,123635,76672,34120,84845,44358
"MS",28,2,705911,54539,53467,50979,58345,160392,71446,162556,94187
"MS",28,3,751004,130557,96398,121335,108931,91737,45394,103223,53429
"MS",28,4,767588,154684,115944,152015,127312,71733,28453,79368,38079
"MO",29,1,735410,90739,65540,88770,73696,131118,58945,143188,83414
"MO",29,2,763176,176622,154933,169379,180976,26629,13229,27496,13912
"MO",29,3,783679,206449,154023,200334,164392,23551,7012,20934,6984
"MO",29,4,761860,200029,138469,187170,151724,34552,10040,28401,11475
"MO",29,5,763288,144940,109789,142961,124433,79526,33090,86157,42392
"MO",29,6,767878,197261,146874,191120,159171,29250,10901,24014,9287
"MO",29,7,776586,204018,144672,198867,164744,25158,7449,23415,8263
"MO",29,8,741123,185354,150439,178436,165183,24717,9333,18263,9398
"MT",30,0,1042520,255818,212555,237600,221401,43022,14628,40568,16928
"NE",31,1,639048,173180,112486,162702,121471,28905,6764,26899,6641
"NE",31,2,661142,170344,98635,162913,109454,43903,14259,44742,16892
"NE",31,3,606926,153807,125598,150087,134186,17580,4663,16899,4106
"NV",32,1,722331,110154,89647,101633,81611,119053,49565,116664,54004
"NV",32,2,713779,157892,134621,150132,134901,48844,19326,45235,22828
"NV",32,3,779908,145769,118377,142932,123375,85032,36111,82738,45574
"NV",32,4,724040,135749,101849,132652,105396,85286,35878,84361,42869
"NH",33,1,671625,169825,144299,158470,154773,16401,7591,14651,5615
"NH",33,2,663170,156095,148915,152763,162015,16430,5166,15656,6130
"NJ",34,1,731932,132302,109660,128863,125787,78751,32703,80318,43548
"NJ",34,2,725217,137953,128314,133983,146446,61882,29284,55816,31539
"NJ",34,3,739696,144493,140627,140366,163868,53115,23661,46464,27102
"NJ",34,4,732142,161611,137408,161496,159537,36618,17219,35455,22798
"NJ",34,5,742865,151921,136331,146783,155639,48517,24723,48627,30324
"NJ",34,6,750419,138150,102306,125400,112410,91462,41642,92748,46301
"NJ",34,7,732070,143317,138433,138309,156975,56024,23683,50198,25131
"NJ",34,8,778294,144457,79588,133858,88775,119567,44408,117179,50462
"NJ",34,9,760005,131100,100731,131680,109203,90381,45711,94766,56433
"NJ",34,10,758062,66630,44709,60919,47709,173077,79251,179964,105803
"NJ",34,11,733706,154680,140662,144297,161733,39702,23507,43107,26018
"NJ",34,12,760061,120748,99094,116965,114682,99213,50885,98515,59959
"NM",35,1,702719,134151,107970,133887,125213,70758,29616,68060,33064
"NM",35,2,691695,180281,118270,163740,127662,34184,16025,33721,17812
"NM",35,3,686601,120865,99494,118751,109350,82506,36104,75062,44469
"NY",36,1,718175,163333,143251,155427,161720,32917,13491,33579,14457
"NY",36,2,714040,140691,119981,131001,136775,65107,27855,61131,31499
"NY",36,3,732591,126748,137870,130280,154420,56480,31790,57293,37710
"NY",36,4,723377,121121,107756,114734,124652,82707,36755,87068,48584
"NY",36,5,794154,39852,31785,36472,32560,195961,114790,197666,145068
"NY",36,6,753744,83055,74354,85525,86919,123028,78709,131509,90645
"NY",36,7,763468,128735,52040,122804,57475,128935,62833,134427,76219
"NY",36,8,771711,66411,46750,63900,52339,160731,83324,179320,118936
"NY",36,9,738674,82427,45403,78921,49710,140232,73999,154613,113369
"NY",36,10,708960,146105,99067,150219,102537,71338,30690,72247,36757
"NY",36,11,735452,140441,107668,141689,125662,73952,35586,67865,42589
"NY",36,12,715471,154015,95393,162817,112854,61246,22553,75278,31315
"NY",36,13,812752,75938,40006,72993,43735,188907,85529,187852,117792
"NY",36,14,691715,95094,64435,85398,69078,128263,60170,117048,72229
"NY",36,15,768801,36950,21129,34456,25941,221306,82603,234843,111573
"NY",36,16,736806,87914,78250,83455,93228,113652,63200,129753,87354
"NY",36,17,744406,138909,110064,133212,127884,79694,36604,75537,42502
"NY",36,18,722617,150052,124393,139959,138341,60515,23628,58672,27057
"NY",36,19,698185,150948,155992,147320,165517,29159,14200,24151,10898
"NY",36,20,723416,154518,125829,147066,146454,54685,18605,56450,19809
"NY",36,21,711798,179153,148504,166624,160315,25693,7920,16726,6863
"NY",36,22,703464,164753,145608,159360,159334,28707,9316,28320,8066
"NY",36,23,703717,169393,145034,163980,158509,28587,6531,24904,6779
"NY",36,24,707479,156373,134721,152615,152367,40425,13741,43182,14055
"NY",36,25,720963,143536,119897,142169,139393,60535,24012,62766,28655
"NY",36,26,709220,131773,112416,130172,134366,66919,25929,72721,34924
"NY",36,27,720133,174536,159962,162262,173216,20302,7372,16261,6222
"NC",37,1,750278,95416,74418,95353,86645,120137,66079,127012,85218
"NC",37,2,819899,168779,118773,166658,130648,80635,35861,77131,41414
"NC",37,3,754350,166530,112462,143565,125661,68478,33760,65684,38210
"NC",37,4,847032,158819,98551,159394,107773,111915,39795,118520,52265
"NC",37,5,751232,157838,133409,151516,150815,50862,24104,54904,27784
"NC",37,6,763491,137055,127625,137383,143141,70599,33082,72875,41731
"NC",37,7,780442,152290,133510,150731,148780,60000,33643,58331,43157
"NC",37,8,774967,146671,105792,139806,116915,90389,35785,93652,45957
"NC",37,9,778477,139045,108557,142352,120714,88009,42825,86232,50743
"NC",37,10,759453,157460,142700,156111,158525,48253,22140,48396,25868
"NC",37,11,749597,163550,164518,158496,191970,27939,9558,21573,11993
"NC",37,12,849357,130436,72459,123598,78353,151188,53911,166759,72653
"NC",37,13,768213,140056,120992,139120,137331,73760,32963,83898,40093
"ND",38,0,757953,205232,133228,183889,138570,41312,10409,34859,10454
"OH",39,1,739216,147795,110633,139435,122304,75576,29844,78335,35294
"OH",39,2,724451,174040,133548,172336,151398,28764,14371,30454,19540
"OH",39,3,787306,143896,77284,139938,83062,119780,42581,128844,51921
"OH",39,4,714115,178021,141861,167818,153425,29124,10798,23504,9564
"OH",39,5,720730,184612,141852,178292,158668,19802,9279,20312,7913
"OH",39,6,703190,175527,155715,167292,170378,15125,6154,8399,4600
"OH",39,7,728336,182409,149016,178659,166006,17137,8873,17761,8475
"OH",39,8,727853,180526,135884,176800,152228,29407,11395,29142,12471
"OH",39,9,706201,136701,114645,133636,130824,69315,23581,70597,26902
"OH",39,10,720354,150510,119465,146004,137065,54598,24005,56562,32145
"OH",39,11,692226,70091,63002,65971,73022,122741,68639,135616,93144
"OH",39,12,758614,184366,137902,182472,156374,39093,13571,32275,12561
"OH",39,13,709683,153649,132703,148699,151987,40811,16337,44358,21139
"OH",39,14,710875,157398,154109,157195,176654,23285,10702,19992,11540
"OH",39,15,743623,198755,136278,185906,151139,28758,9797,23584,9406
"OH",39,16,727600,178663,154914,169938,175526,16650,5937,16749,9223
"OK",40,1,796981,158631,116958,156187,132669,85202,28002,86306,33026
"OK",40,2,749490,124930,120339,121540,130994,89884,36759,84115,40929
"OK",40,3,779596,180196,128885,167463,139964,63820,21003,55794,22471
"OK",40,4,781940,177673,120304,164957,132450,69496,23343,65560,28157
"OK",40,5,815554,170852,107444,166314,122717,87126,32426,90239,38436
"OR",41,1,830772,188874,138083,182858,151010,64650,20446,62161,22690
"OR",41,2,809980,191649,170408,182068,184295,31741,10420,28682,10717
"OR",41,3,835143,198817,128523,195974,138371,59596,25105,61110,27647
"OR",41,4,795499,185617,164409,178016,180798,34203,9981,29724,12751
"OR",41,5,822071,186036,153336,185893,170775,49427,14717,45222,16665
"PA",42,1,721901,104600,64082,98423,68312,132260,51692,133280,69252
"PA",42,2,711404,72096,36861,71376,44739,142509,76079,158908,108836
"PA",42,3,693850,162805,150454,156941,166932,21093,8293,19143,8189
"PA",42,4,726738,158274,140307,159992,156677,41483,14303,38900,16802
"PA",42,5,700472,179849,149411,167317,157789,23134,7055,12682,3235
"PA",42,6,737397,165065,143538,166202,161437,39415,13421,35752,12567
"PA",42,7,712330,158565,139912,153528,161740,33874,15349,32733,16629
"PA",42,8,709746,154712,149587,152602,165294,30588,13388,28582,14993
"PA",42,9,689669,166749,151510,162190,169204,16485,5578,12134,5819
"PA",42,10,689108,160158,156625,155789,164553,19500,6820,18269,7394
"PA",42,11,707150,163535,149066,152250,163880,28360,10703,28589,10767
"PA",42,12,697773,158309,158071,151225,177552,19532,7568,17909,7607
"PA",42,13,731754,115126,100293,118325,120087,97200,35329,98265,47129
"PA",42,14,696529,133933,109221,126484,131254,64391,27098,67998,36150
"PA",42,15,725473,160772,138950,155258,156359,45076,12289,42970,13799
"PA",42,16,725915,169752,126858,164672,142388,44522,15212,45495,17016
"PA",42,17,699918,160031,141915,148893,162494,34077,12125,27765,12618
"PA",42,18,707100,163968,156276,158774,178709,19428,6405,16819,6721
"RI",44,1,536871,106767,88611,105107,109445,49067,16297,45373,16204
"RI",44,2,519555,112530,100476,111046,116123,28151,9459,30165,11605
"SC",45,1,761869,159657,122881,155398,137734,59906,25143,63947,37203
"SC",45,2,703246,135584,107779,132061,118435,68903,30344,70065,40075
"SC",45,3,684619,141129,118139,139172,130535,51772,22795,51041,30036
"SC",45,4,716552,148808,110810,145326,126286,60672,27023,63449,34178
"SC",45,5,704256,128090,107142,126421,118020,72680,36185,70843,44875
"SC",45,6,680469,79468,53137,68012,58350,131258,68752,134929,86563
"SC",45,7,710108,109682,118753,111551,134192,72693,36158,78652,48427
"SD",46,0,865454,210058,158678,194699,169504,54980,11952,50021,15562
"TN",47,1,714504,174907,154341,168519,174200,17108,6037,12552,6840
"TN",47,2,740182,180554,140632,175483,161286,30282,10913,26517,14515
"TN",47,3,728254,166221,140161,157405,156833,35151,16589,34834,21060
"TN",47,4,767655,191854,129951,186612,143674,40385,16115,41482,17582
"TN",47,5,762535,158954,93573,156939,106186,81299,33140,90468,41976
"TN",47,6,761538,189468,151467,188790,169209,21030,9141,20923,11510
"TN",47,7,765730,189767,130694,182887,143565,42269,16156,41256,19136
"TN",47,8,706468,141555,118593,135963,135226,57257,28027,55432,34415
"TN",47,9,704328,50797,38806,48873,43533,171450,72414,182679,95776
"TX",48,1,717735,158624,111368,153503,124643,54616,25481,58370,31130
"TX",48,2,779662,165677,94941,149133,109563,95292,32032,97146,35878
"TX",48,3,842800,172971,114324,166340,126477,92552,33877,98980,37279
"TX",48,4,735554,167251,129892,161144,142493,46024,19118,46009,23623
"TX",48,5,764456,177319,112930,171207,120131,66330,22406,66078,28055
"TX",48,6,770255,149266,100148,146973,110535,94067,35549,92895,40822
"TX",48,7,770606,158882,97556,155325,106752,89354,31217,96277,35243
"TX",48,8,813519,207306,135717,190646,141509,47067,22819,47607,20848
"TX",48,9,793923,101884,43684,102797,46415,162604,75457,170592,90490
"TX",48,10,823296,187064,117016,177367,124283,80621,28282,77357,31306
"TX",48,11,759136,209366,125614,194734,141591,33012,14501,27790,12528
"TX",48,12,770350,185161,115323,175542,132633,55982,19593,62722,23394
"TX",48,13,707421,182987,121194,173372,127874,40565,13520,33912,13997
"TX",48,14,753147,166490,110050,156165,112456,69211,34478,66172,38125
"TX",48,15,776887,211140,90587,215027,105002,58544,22448,50584,23555
"TX",48,16,735784,202078,92653,189578,117188,50246,18070,47019,18952
"TX",48,17,761922,187663,97125,176537,107690,71849,25738,68110,27210
"TX",48,18,787352,146253,56331,122301,54949,138367,59248,133977,75926
"TX",48,19,734532,202111,106241,188478,117525,46557,17576,38592,17452
"TX",48,20,791141,222421,99147,217362,115136,50443,19658,45123,21851
"TX",48,21,804470,201093,143564,193485,155981,39823,14010,39138,17376
"TX",48,22,881407,168739,99775,159474,104440,114488,54319,121929,58243
"TX",48,23,772944,205129,105534,193578,116414,55452,23269,49784,23784
"TX",48,24,790319,141272,99662,140886,113225,110631,34895,110493,39255
"TX",48,25,762897,187530,128820,182315,139041,46989,16519,44457,17226
"TX",48,26,845376,204483,120660,208777,128464,65172,21839,71085,24896
"TX",48,27,736778,185543,120281,184391,131103,37543,18152,35776,23989
"TX",48,28,736150,220244,95476,217762,114436,30186,13567,28964,15515
"TX",48,29,765403,209530,86990,205149,89150,60448,26147,58362,29627
"TX",48,30,749289,127716,56076,123651,57853,118573,61185,124770,79465
