candidate_id,state_abbreviation,congressional_district,candidate_party,disbursement,ind_support,ind_oppose,party_expenditures
H0WI07051,WI,7,Republican,1416814,0,0,0
H0WV01072,WV,1,Republican,341788,408234,0,0
H2AL03032,AL,3,Republican,765352,0,0,0
H2AZ07070,AZ,3,Democrat,244493,7761,0,23931
H2AZ09035,AZ,1,Republican,983405,604679,5463972,0
H2CA00104,CA,47,Democrat,221036,103,0,0
H2CA00120,CA,26,Democrat,1089936,23703,0,0
H2CA02142,CA,1,Republican,797977,0,4592,0
H2CA06259,CA,2,Democrat,74229,108,0,0
H2CA08164,CA,8,Republican,594284,0,16344,0
H2CA15094,CA,15,Democrat,357456,103,0,0
H2CA20094,CA,21,Republican,1627327,12748,658029,94905
H2CA28113,CA,29,Democrat,172266,103,0,0
H2CA31125,CA,31,Democrat,984128,18099,0,0
H2CA33048,CA,40,Democrat,112722,67,0,0
H2CA36439,CA,36,Democrat,1023038,23770,6900,0
H2CA37023,CA,42,Republican,502155,0,0,0
H2CA39078,CA,38,Democrat,233840,23770,0,0
H2CA43245,CA,41,Democrat,315519,5989,0,0
H2CA50026,CA,51,Democrat,116850,103,0,0
H2CA52089,CA,52,Democrat,919581,103,0,0
H2CT02112,CT,2,Democrat,377257,103,0,0
H2FL06109,FL,3,Republican,324869,4018,21500,0
H2FL08063,FL,10,Democrat,216232,29109,0,0
H2FL14053,FL,21,Democrat,51276,103,0,0
H2FL20043,FL,23,Republican,211893,0,0,0
H2FL23021,FL,20,Democrat,191999,1080,0,0
H2FL25018,FL,25,Republican,1201933,67,338797,0
H2GA02031,GA,2,Democrat,383141,67,0,0
H2GA09150,GA,9,Republican,87161,0,0,0
H2GA12121,GA,12,Republican,458595,0,0,0
H2GA13012,GA,13,Democrat,286709,67,0,0
H2HI02508,HI,2,Democrat,305030,211,0,0
H2IA01055,IA,1,Republican,1221383,580413,3092823,0
H2IA05072,IA,4,Republican,136257,5291,868951,0
H2IL01042,IL,1,Democrat,34478,36,0,0
H2IL01182,IL,1,Republican,0,0,0,0
H2IL02172,IL,2,Democrat,118149,0,0,0
H2IL10068,IL,10,Democrat,767187,46,0,0
H2IL13120,IL,13,Republican,1722261,66343,6179960,0
H2IL17071,IL,17,Democrat,1391668,36,0,0
H2IL20042,IL,15,Republican,548825,0,0,0
H2IN05082,IN,5,Republican,691260,0,0,410
H2KY04121,KY,4,Republican,84710,0,0,0
H2MA04073,MA,4,Democrat,539939,68,0,0
H2MA09072,MA,8,Democrat,118109,0,0,0
H2MD02160,MD,2,Democrat,114415,78,0,0
H2MD05155,MD,5,Democrat,1053026,113,0,82764
H2MI05119,MI,5,Democrat,219208,715,0,0
H2MI14111,MI,14,Democrat,72999,214,0,0
H2MN07014,MN,7,Democrat,1079187,1489,0,0
H2MO02102,MO,2,Republican,1383393,110337,20076,0
H2NC01081,NC,3,Republican,24964,0,0,0
H2NC07096,NC,7,Republican,383663,0,0,0
H2NC08185,NC,8,Republican,789475,5000,0,0
H2NC11080,NC,11,Republican,336757,5019,0,0
H2NC13110,NC,2,Republican,676781,14748,2611617,0
H2NJ10154,NJ,10,Democrat,66682,4150,0,0
H2NV02395,NV,2,Republican,176069,89579,0,0
H2NV04011,NV,4,Democrat,862602,5954366,5787236,90000
H2NY00010,NY,7,Democrat,99746,0,0,0
H2NY03089,NY,2,Republican,993774,0,0,0
H2NY06116,NY,6,Democrat,246772,0,0,0
H2NY10092,NY,8,Democrat,312451,36,0,0
H2NY13062,NY,11,Green,0,0,0,0
H2NY13096,NY,13,Democrat,109760,0,0,0
H2NY14037,NY,12,Democrat,233046,68,0,0
H2NY17071,NY,10,Democrat,164080,0,0,0
H2NY22139,NY,18,Democrat,2859623,72,0,0
H2OH02077,OH,2,Green,0,0,0,0
H2OH02085,OH,2,Republican,637089,865,0,0
H2OH03067,OH,10,Republican,466939,763,0,0
H2OH03125,OH,3,Democrat,109852,36,0,0
H2OH09031,OH,9,Democrat,212590,68,0,0
H2OH14064,OH,14,Republican,956950,394926,0,0
H2OH17109,OH,13,Democrat,336452,0,0,0
H2OK02083,OK,2,Republican,179033,0,0,0
