StateAbbreviation,StateFIPS,CongressionalDistrict,Population,MedianHouseholdIncome,MedianAge,CollegeGradPct,AverageHouseholdSize,PovertyRate
"CA",6,40,738618,47190.0,30.6,7.669728993132327e-2,3.99,0.22579947024122263
"CA",6,41,765770,64658.0,30.7,0.10795659217045618,4.02,0.13814980047287395
"CA",6,42,826899,83837.0,34.6,0.18048924974736036,3.59,8.350346307176726e-2
"CA",6,43,745656,56655.0,36.1,0.1890282941960114,3.03,0.16627052956799826
"CA",6,44,717097,50346.0,32.3,0.10405917414071955,3.77,0.1864769905574856
"CA",6,45,777871,102040.0,38.8,0.3357933784661041,2.7800000000000002,9.113689046728778e-2
"CA",6,46,734649,65334.0,32.4,0.1433671962292745,3.82,0.17009273817417983
"CA",6,47,723526,68300.0,37.5,0.22012386268063308,2.89,0.15542938353161917
"CA",6,48,721632,89807.0,42.9,0.29200094699500917,2.69,9.63067205075632e-2
"CA",6,49,747350,88314.0,39.5,0.2692588275408172,2.7800000000000002,7.625804839265583e-2
"CA",6,50,754388,77155.0,37.3,0.19592746987761922,3.09,0.10190146769621529
"CA",6,51,746496,48043.0,32.5,0.10807914561332727,3.49,0.19904377435321374
"CA",6,52,768240,95770.0,36.2,0.3343751327647768,2.61,8.211200556283597e-2
"CA",6,53,774182,72479.0,35.2,0.2506573066939852,2.8,0.13234878425419425
"CO",8,1,826995,67441.0,35.2,0.30139806633264316,2.34,0.1125413619536353
"CO",8,2,799734,80019.0,38.1,0.33268043290618154,2.46,0.10744275005663213
"CO",8,3,749478,52765.0,40.3,0.2077967401725791,2.51,0.1372228504006686
"CO",8,4,817251,73735.0,37.1,0.24042082522583844,2.71,8.819881218356708e-2
"CO",8,5,799622,64179.0,35.6,0.22410037646828282,2.59,0.10824503034980497
"CO",8,6,814636,80606.0,36.5,0.2836319209277923,2.77,7.470386460110828e-2
"CO",8,7,799438,70574.0,36.1,0.22530087377040173,2.64,9.521091965611657e-2
"CT",9,1,710509,69766.0,40.6,0.20287751995800662,2.49,0.10916861474034449
"CT",9,2,705217,73805.0,42.6,0.19667077180703402,2.43,7.705473791140591e-2
"CT",9,3,716547,69178.0,39.4,0.19107260989805766,2.57,0.10354178115870766
"CT",9,4,737616,94547.0,40.0,0.2667383839962178,2.77,9.065760256044461e-2
"CT",9,5,718295,71995.0,42.4,0.21230695130667163,2.55,9.868358341881339e-2
"DE",10,0,961939,62852.0,40.1,0.18026498992112053,2.62,0.13582160272186553
"DC",11,98,693972,82372.0,34.0,0.23891762060920232,2.32,0.16638360867156493
"FL",12,1,770361,55229.0,38.5,0.17740301059198496,2.48,0.1355153926094338
"FL",12,2,731845,48838.0,41.9,0.14838113253718704,2.55,0.15788683819811838
"FL",12,3,739130,47611.0,37.6,0.14964294424367267,2.64,0.1819512734886809
"FL",12,4,800494,68964.0,39.6,0.2605319591701409,2.57,9.542136797102856e-2
"FL",12,5,729175,40920.0,34.0,0.14220227375654604,2.58,0.21982181289495376
"FL",12,6,764500,48197.0,47.9,0.14585777126099705,2.44,0.14476526655832098
"FL",12,7,772969,61423.0,36.5,0.276273883854336,2.59,0.13207471497935874
"FL",12,8,756993,52180.0,48.5,0.18519287596837314,2.57,0.11499072009400077
"FL",12,9,868945,50964.0,38.3,0.15541441522548952,3.14,0.1445253094542194
"FL",12,10,830014,50963.0,35.0,0.21441565084579695,2.95,0.1595310640236734
"FL",12,11,770114,46001.0,55.5,0.144410862108127,2.34,0.1243179368161922
"FL",12,12,779151,52573.0,46.5,0.1764579257379249,2.45,0.11538656612960489
"FL",12,13,730650,50724.0,46.9,0.19702657253369046,2.35,0.13040696186332223
"FL",12,14,776940,51774.0,37.1,0.23096123048303435,2.5300000000000002,0.1763132790346433
"FL",12,15,804652,53367.0,37.7,0.16927759196095826,2.84,0.1502019882050499
"FL",12,16,814209,59437.0,47.3,0.20345361746072727,2.55,0.1010321309223737
"FL",12,17,778091,49449.0,51.5,0.13537883973969747,2.54,0.14160849724543598
"FL",12,18,772184,58754.0,47.7,0.2101908705542314,2.6,0.10110999096473369
"FL",12,19,814074,56828.0,51.3,0.19815439587171696,2.56,0.10518987310269996
"FL",12,20,776092,44436.0,36.6,0.13349633720707246,3.06,0.1764834323581678
"FL",12,21,788240,58410.0,46.1,0.21576221879078974,2.64,0.12045658858502999
"FL",12,22,757352,62353.0,45.1,0.2466143248308705,2.46,0.11316886736186704
"FL",12,23,753950,66872.0,41.0,0.24984774779516253,2.8,0.10170303445165439
"FL",12,24,770480,41172.0,37.0,0.13513298582380776,3.15,0.2048627047558756
"FL",12,25,780826,50120.0,42.7,0.15841929975586005,3.12,0.16227442792392635
"FL",12,26,797160,56496.0,38.7,0.19672493033691602,3.45,0.14423728662681198
"FL",12,27,755809,56183.0,42.1,0.23855694633430458,2.74,0.15043608837236094
"GA",13,1,747334,51223.0,35.6,0.15189144002662056,2.62,0.16572589405687257
"GA",13,2,674100,37569.0,36.0,0.10275684103737294,2.59,0.24953734838808242
"GA",13,3,738066,58949.0,38.6,0.1805651093720917,2.66,0.14094769010023248
