GEOID,NAME,STATE,DIST,C_TOT19,CTOTMOE,C_NHS19,CNHSMOE,C_AIA19,CAIAMOE,C_ASN19,CASNMOE,C_BLK19,CBLKMOE,C_NHP19,CNHPMOE,C_WHT19,CWHTMOE,C_AIW19,CAIWMOE,C_ASW19,CASWMOE,C_BLW19,CBLWMOE,C_AIB19,CAIBMOE,C_2OM19,C2OMMOE,C_HSP19,CHSPMOE,CVAP_TOT19,CVAPTOTMOE,CVAP_NHS19,CVAPNHSMOE,CVAP_AIA19,CVAPAIAMOE,CVAP_ASN19,CVAPASNMOE,CVAP_BLK19,CVAPBLKMOE,CVAP_NHP19,CVAPNHPMOE,CVAP_WHT19,CVAPWHTMOE,CVAP_AIW19,CVAPAIWMOE,CVAP_ASW19,CVAPASWMOE,CVAP_BLW19,CVAPBLWMOE,CVAP_AIB19,CVAPAIBMOE,CVAP_2OM19,CVAP2OMMOE,CVAP_HSP19,CVAPHSPMOE,ALL_TOT19,ALLTOTMOE,ALL_NHS19,ALLNHSMOE,ALL_AIA19,ALLAIAMOE,ALL_ASN19,ALLASNMOE,ALL_BLK19,ALLBLKMOE,ALL_NHP19,ALLNHPMOE,ALL_WHT19,ALLWHTMOE,ALL_AIW19,ALLAIWMOE,ALL_ASW19,ALLASWMOE,ALL_BLW19,ALLBLWMOE,ALL_AIB19,ALLAIBMOE,ALL_2OM19,ALL2OMMOE,ALL_HSP19,ALLHSPMOE,VAP_TOT19,VAPTOTMOE,VAP_NHS19,VAPNHSMOE,VAP_AIA19,VAPAIAMOE,VAP_ASN19,VAPASNMOE,VAP_BLK19,VAPBLKMOE,VAP_NHP19,VAPNHPMOE,VAP_WHT19,VAPWHTMOE,VAP_AIW19,VAPAIWMOE,VAP_ASW19,VAPASWMOE,VAP_BLW19,VAPBLWMOE,VAP_AIB19,VAPAIBMOE,VAP_2OM19,VAP2OMMOE,VAP_HSP19,VAPHSPMOE,STATEFP,SLDU
51012,"State Senate District 12 (2018), Virginia",Virginia,State Senate District 12 (2018),200190,2289,189870,2027,1035,34,17010,50,28685,69,130,47,142250,1578,630,181,1835,439,2250,506,195,115,960,451,10320,868,152165,1760,146460,1625,895,31,10590,40,21500,58,95,35,112975,1217,550,163,650,232,960,266,175,90,580,315,5710,616,220100,2136,204955,2035,1035,34,28165,60,29535,70,130,47,145330,1527,630,181,2395,741,2260,507,195,115,965,453,15140,650,169325,1738,159490,1674,895,31,20185,47,22250,59,95,35,115660,1146,550,163,930,353,975,265,175,90,585,317,9835,468,51,012
51013,"State Senate District 13 (2018), Virginia",Virginia,State Senate District 13 (2018),243760,2526,221755,2755,1110,32,41390,66,22330,66,105,48,155330,1789,505,139,5055,717,2560,553,80,57,1575,487,22005,1191,164120,1857,151580,1887,690,26,25150,56,15030,55,95,42,109970,1152,315,98,2010,454,1050,309,45,46,685,235,12540,742,263425,2403,235870,2545,1110,32,51820,67,23060,67,105,48,158250,1821,505,139,5225,754,2560,553,80,57,1610,492,27555,1655,182215,1724,164535,1701,690,26,34665,56,15760,56,95,42,112645,1161,315,98,2135,487,1050,309,45,46,720,239,17680,1177,51,013
51014,"State Senate District 14 (2018), Virginia",Virginia,State Senate District 14 (2018),210445,2273,200175,2373,1885,43,11090,48,40780,75,115,69,145265,1939,1200,320,2865,530,2395,467,465,244,1500,333,10270,976,159565,1700,153115,1718,1440,38,8035,39,31505,61,90,60,111690,1502,885,226,1240,267,805,230,350,180,705,231,6450,626,213770,2328,202645,2373,1890,43,12425,50,40895,75,115,69,146250,1968,1205,319,2900,533,2395,467,465,244,1535,342,11125,1007,162495,1720,155350,1721,1445,38,9280,41,31620,61,90,60,112530,1520,890,226,1275,271,805,230,350,180,740,234,7145,645,51,014
51015,"State Senate District 15 (2018), Virginia",Virginia,State Senate District 15 (2018),188685,2085,185315,2127,1165,33,1325,28,54810,75,65,63,127985,1440,515,128,385,165,2335,596,400,250,365,143,3370,520,152695,1489,150685,1523,935,32,845,23,44200,61,65,63,104735,1028,455,107,180,94,1025,317,325,200,225,106,2010,369,191250,1990,186215,2092,1165,33,1815,31,55020,75,65,63,128180,1443,515,128,395,171,2335,596,400,250,380,143,5035,480,154875,1396,151475,1496,935,32,1290,26,44340,61,65,63,104930,1021,455,107,190,99,1025,317,325,200,240,109,3400,311,51,015
51016,"State Senate District 16 (2018), Virginia",Virginia,State Senate District 16 (2018),204320,2424,191195,2423,1700,41,3860,34,114800,80,220,47,70080,1762,425,168,840,250,2745,470,735,278,1270,538,13120,858,155595,2114,149220,2074,1320,36,3260,31,86095,69,140,63,58310,1454,340,125,470,167,1280,288,550,192,640,220,6375,512,215490,2409,193125,2365,1700,41,4410,35,115385,80,220,47,70880,1760,425,168,850,251,2750,470,735,278,1270,538,22365,1326,165330,2060,151005,2005,1320,36,3710,31,86645,69,140,63,59090,1442,340,125,480,167,1285,286,550,192,640,220,14325,796,51,016
51017,"State Senate District 17 (2018), Virginia",Virginia,State Senate District 17 (2018),212975,2092,198985,1974,1610,39,4015,36,41880,74,205,123,150375,1889,820,199,1050,228,4150,724,205,128,1095,423,13990,720,163850,1648,156245,1494,1255,34,2715,31,30945,59,175,118,120690,1412,585,142,660,171,1485,418,170,98,625,211,7605,546,223180,1719,203280,1795,1610,39,6055,41,42465,74,205,123,151985,1781,820,199,1315,304,4180,721,205,128,1155,424,19905,771,172355,1437,159715,1390,1255,34,4485,35,31425,59,175,118,121860,1332,585,142,845,218,1515,413,170,98,685,217,12640,535,51,017
51018,"State Senate District 18 (2018), Virginia",Virginia,State Senate District 18 (2018),199470,1894,193010,1901,2545,49,2760,35,110140,89,295,334,77315,1270,925,250,765,249,2895,653,1100,464,1050,287,6455,463,154330,1370,150270,1392,1930,44,2080,29,82815,71,155,166,63605,1010,710,186,385,138,1155,316,835,390,530,169,4060,302,202155,1935,194625,1937,2545,49,3425,35,110650,89,295,334,77745,1264,925,250,770,247,2910,652,1100,464,1065,291,7530,486,156740,1389,151635,1404,1930,44,2600,30,83250,71,155,166,63995,1000,710,186,385,139,1165,315,835,390,545,173,5105,290,51,018
51019,"State Senate District 19 (2018), Virginia",Virginia,State Senate District 19 (2018),199305,2170,195180,2075,1135,36,2920,33,9250,55,35,42,181465,2083,705,206,520,188,1070,313,165,115,540,294,4125,534,159300,1754,156880,1665,940,34,2050,28,6610,43,35,42,147065,1639,560,180,335,147,280,127,115,91,295,137,2420,373,201805,2137,196525,2017,1135,36,3580,34,9285,55,35,42,182110,2085,705,206,560,192,1070,313,165,115,540,294,5280,597,161610,1693,158155,1603,940,34,2665,29,6635,43,35,42,147700,1629,560,180,375,152,280,127,115,91,295,137,3455,379,51,019
51020,"State Senate District 20 (2018), Virginia",Virginia,State Senate District 20 (2018),188590,2104,182065,2117,1505,37,960,22,54530,68,65,57,124935,1688,575,100,130,96,2050,400,520,247,595,250,6525,498,149815,1507,146855,1509,1275,34,645,20,41780,54,35,36,103230,1241,535,101,75,74,655,189,405,167,295,127,2960,324,191495,2090,182875,2110,1505,37,1315,24,54735,68,65,57,125180,1683,575,100,145,100,2055,399,520,247,600,252,8620,657,152510,1475,147645,1501,1275,34,1000,22,41970,54,35,36,103470,1238,535,101,90,81,660,188,405,167,305,129,4865,418,51,020
51021,"State Senate District 21 (2018), Virginia",Virginia,State Senate District 21 (2018),194200,1881,186840,1728,995,35,6495,39,34430,65,60,67,143860,1481,335,117,915,234,2160,596,105,107,1100,777,7360,554,157250,1498,152805,1412,780,31,5025,36,25090,50,60,67,121340,1145,225,81,575,196,680,282,90,90,595,297,4445,390,204565,1488,194515,1420,1020,35,11295,42,35585,66,70,67,145520,1423,360,125,1300,437,2160,596,105,107,1135,780,10050,373,166625,1194,159815,1150,805,31,9515,35,26065,49,60,67,122825,1137,250,90,870,232,680,282,90,90,630,307,6810,258,51,021
51022,"State Senate District 22 (2018), Virginia",Virginia,State Senate District 22 (2018),196140,1442,191630,1378,1530,36,1740,28,50610,72,70,61,137535,1023,735,152,570,157,2440,522,310,178,460,186,4505,527,157195,1185,154210,1118,1360,35,1250,25,39140,57,70,61,112465,795,645,140,310,129,685,202,290,169,220,80,2985,385,199225,1320,193355,1361,1535,36,2385,29,50885,72,70,61,138295,1034,735,152,575,158,2440,522,310,178,490,196,5875,669,160180,1013,155860,1081,1365,35,1870,26,39400,57,70,61,113195,814,645,140,315,131,685,202,290,169,250,105,4320,546,51,022
51023,"State Senate District 23 (2018), Virginia",Virginia,State Senate District 23 (2018),204495,1763,199990,1771,1255,30,2655,31,22550,63,20,25,173405,1392,755,92,870,227,1960,444,140,108,250,150,4505,474,164550,1409,161590,1411,970,31,1815,24,16430,51,20,25,142295,1068,555,114,485,124,595,182,140,108,200,128,2960,326,208930,1819,203080,1783,1280,30,4075,32,23260,63,20,25,174315,1350,780,89,900,233,1960,444,140,108,275,162,5850,610,168370,1425,164285,1427,995,30,3030,27,17095,51,20,25,143060,1036,580,97,515,130,595,182,140,108,225,141,4085,366,51,023
51024,"State Senate District 24 (2018), Virginia",Virginia,State Senate District 24 (2018),209030,1154,202125,1133,1375,39,1850,29,16495,54,215,120,181955,1114,650,278,440,166,2355,436,80,75,315,151,6905,572,164475,859,160700,787,1140,37,1255,26,11880,43,160,96,146145,806,510,231,195,97,545,161,80,75,205,106,3775,453,213425,1099,204055,1095,1375,39,2660,30,16960,56,215,120,182615,1114,650,278,440,166,2420,467,80,75,315,151,9370,491,168390,742,162385,736,1140,37,1945,26,12245,45,160,96,146770,795,510,231,195,97,605,199,80,75,205,106,6005,290,51,024
51025,"State Senate District 25 (2018), Virginia",Virginia,State Senate District 25 (2018),196495,1254,189655,1218,1075,33,6415,38,21040,54,75,55,160815,1103,655,177,1320,261,1415,331,90,70,330,134,6840,464,160105,1064,156130,986,860,30,5040,34,16275,47,40,36,133760,908,525,149,815,197,785,226,90,70,240,106,3975,364,205200,1036,195810,1056,1075,33,9620,39,21415,54,75,55,163375,1057,655,177,1365,265,1435,335,90,70,340,138,9395,478,168020,861,161730,852,860,30,8005,34,16510,47,40,36,136155,862,525,149,845,201,810,227,90,70,250,107,6295,368,51,025
51026,"State Senate District 26 (2018), Virginia",Virginia,State Senate District 26 (2018),199950,1258,186280,1111,975,35,2935,31,9130,56,40,44,172945,950,465,132,860,194,2420,398,255,144,515,233,13670,636,158695,1014,151295,775,905,35,2355,28,6590,48,40,44,141390,661,405,133,520,146,750,266,255,144,270,145,7405,591,210550,765,190750,820,975,35,4360,34,10240,53,40,46,174810,859,465,132,1115,274,2425,396,255,144,585,230,19795,355,167770,562,154690,575,905,35,3450,29,7355,47,40,46,142875,581,405,133,685,180,750,264,255,144,315,133,13080,204,51,026
