GEOID,NAME,STATE,DIST,C_TOT19,CTOTMOE,C_NHS19,CNHSMOE,C_AIA19,CAIAMOE,C_ASN19,CASNMOE,C_BLK19,CBLKMOE,C_NHP19,CNHPMOE,C_WHT19,CWHTMOE,C_AIW19,CAIWMOE,C_ASW19,CASWMOE,C_BLW19,CBLWMOE,C_AIB19,CAIBMOE,C_2OM19,C2OMMOE,C_HSP19,CHSPMOE,CVAP_TOT19,CVAPTOTMOE,CVAP_NHS19,CVAPNHSMOE,CVAP_AIA19,CVAPAIAMOE,CVAP_ASN19,CVAPASNMOE,CVAP_BLK19,CVAPBLKMOE,CVAP_NHP19,CVAPNHPMOE,CVAP_WHT19,CVAPWHTMOE,CVAP_AIW19,CVAPAIWMOE,CVAP_ASW19,CVAPASWMOE,CVAP_BLW19,CVAPBLWMOE,CVAP_AIB19,CVAPAIBMOE,CVAP_2OM19,CVAP2OMMOE,CVAP_HSP19,CVAPHSPMOE,ALL_TOT19,ALLTOTMOE,ALL_NHS19,ALLNHSMOE,ALL_AIA19,ALLAIAMOE,ALL_ASN19,ALLASNMOE,ALL_BLK19,ALLBLKMOE,ALL_NHP19,ALLNHPMOE,ALL_WHT19,ALLWHTMOE,ALL_AIW19,ALLAIWMOE,ALL_ASW19,ALLASWMOE,ALL_BLW19,ALLBLWMOE,ALL_AIB19,ALLAIBMOE,ALL_2OM19,ALL2OMMOE,ALL_HSP19,ALLHSPMOE,VAP_TOT19,VAPTOTMOE,VAP_NHS19,VAPNHSMOE,VAP_AIA19,VAPAIAMOE,VAP_ASN19,VAPASNMOE,VAP_BLK19,VAPBLKMOE,VAP_NHP19,VAPNHPMOE,VAP_WHT19,VAPWHTMOE,VAP_AIW19,VAPAIWMOE,VAP_ASW19,VAPASWMOE,VAP_BLW19,VAPBLWMOE,VAP_AIB19,VAPAIBMOE,VAP_2OM19,VAP2OMMOE,VAP_HSP19,VAPHSPMOE,STATEFP,SLDL
51067,"State House District 67 (2018), Virginia",Virginia,State House District 67 (2018),74205,1682,67385,1654,335,27,20040,54,4290,47,15,20,42275,1133,190,114,1740,346,645,270,0,29,430,216,6820,833,53780,1154,49775,1207,280,24,13500,44,2775,35,15,20,33010,947,185,113,775,189,235,96,0,29,200,114,4005,473,84430,1624,74675,1709,335,27,25345,57,4935,49,20,32,43610,1182,190,114,1785,373,690,270,0,29,430,216,9755,1201,62400,1223,55880,1251,280,24,18075,47,3280,38,20,32,34015,930,185,113,820,205,270,119,0,29,200,114,6520,862,51,067
51068,"State House District 68 (2018), Virginia",Virginia,State House District 68 (2018),80050,1403,77740,1423,254,20,3175,33,5819,39,0,29,68350,1243,130,65,725,214,330,120,4,9,150,76,2315,542,65040,1158,63785,1147,239,20,2405,28,4804,33,0,29,56240,990,115,59,320,104,120,59,4,9,95,57,1255,249,82485,1306,79530,1386,254,20,4030,35,5849,39,0,29,69255,1203,130,65,725,214,330,120,4,9,150,76,2955,655,67400,1074,65515,1137,239,20,3230,29,4834,34,0,29,57120,951,115,59,320,104,120,59,4,9,95,57,1885,342,51,068
51069,"State House District 69 (2018), Virginia",Virginia,State House District 69 (2018),83775,2078,79565,2036,1075,39,1235,29,49900,83,20,25,27315,1202,265,116,345,189,1260,450,715,407,740,485,4210,607,66210,1796,64560,1742,870,37,1015,26,38175,75,20,25,24560,1118,240,101,230,137,795,338,535,350,455,222,1650,306,89900,2116,80805,1998,1075,39,1625,31,50225,83,20,25,27835,1130,265,116,345,189,1260,450,715,407,740,485,9095,1039,71720,1776,65770,1689,870,37,1380,28,38505,75,20,25,25080,1037,240,101,230,137,795,338,535,350,455,222,5945,647,51,069
51070,"State House District 70 (2018), Virginia",Virginia,State House District 70 (2018),76740,2152,69195,2218,720,32,1265,26,46875,80,0,29,20415,1238,250,139,205,107,1295,596,295,146,215,140,7545,1000,58685,1662,55610,1645,515,27,1060,22,36320,63,0,29,17850,1012,105,69,100,61,390,192,255,126,115,111,3075,460,84440,2303,70095,2231,720,32,1615,28,47280,80,0,29,20560,1242,250,139,220,115,1295,596,295,146,215,140,14345,1593,65380,1752,56475,1637,515,27,1390,25,36710,62,0,29,18000,1016,105,69,105,63,390,192,255,126,115,111,8900,901,51,070
51071,"State House District 71 (2018), Virginia",Virginia,State House District 71 (2018),86620,1763,84090,1767,810,36,2235,26,50555,71,4,13,30400,939,250,124,455,146,1125,282,425,217,510,164,2530,457,72580,1475,70615,1434,740,35,2005,25,39735,64,4,13,28075,875,235,132,385,131,725,201,370,197,425,148,1965,311,88535,1743,85705,1755,810,36,3015,29,50845,72,4,13,30935,948,250,124,620,199,1135,284,425,217,510,164,2830,475,74430,1468,72175,1422,740,35,2755,28,40005,64,4,13,28610,887,235,132,530,180,730,201,370,197,425,148,2255,330,51,071
51072,"State House District 72 (2018), Virginia",Virginia,State House District 72 (2018),82415,1867,78180,1842,340,22,6590,40,12325,57,40,31,58225,1630,260,116,825,253,1125,439,45,38,705,414,4230,730,62430,1337,60210,1349,325,22,4105,35,9390,47,40,29,45915,1319,245,109,375,180,385,191,45,38,475,319,2225,424,89765,1814,84045,1890,340,22,11115,46,12650,57,40,31,59240,1581,260,116,855,250,1125,439,45,38,705,414,5725,877,68890,1293,65335,1377,325,22,8020,39,9685,47,40,29,46830,1293,245,109,375,180,385,191,45,38,475,319,3555,578,51,072
51073,"State House District 73 (2018), Virginia",Virginia,State House District 73 (2018),74275,2023,69325,1971,500,28,5535,41,12500,62,80,62,50595,1487,265,108,600,234,975,305,115,94,230,151,4950,864,57880,1579,55175,1508,400,26,3745,33,9025,53,50,40,41960,1275,225,104,240,102,495,196,95,69,95,67,2705,529,83320,1922,75175,1836,500,28,9395,54,12910,62,80,62,52170,1388,265,108,1135,636,985,305,115,94,235,154,8145,1047,65525,1484,60165,1389,400,26,7045,42,9395,53,50,40,43270,1184,225,104,520,277,510,197,95,69,100,65,5365,618,51,073
51074,"State House District 74 (2018), Virginia",Virginia,State House District 74 (2018),82040,2108,80435,2083,950,31,1570,42,51970,67,10,16,25520,1233,285,167,505,408,825,350,85,81,500,281,1605,485,63055,1663,61930,1632,820,28,1340,40,38150,56,10,16,21375,889,230,141,440,416,295,188,65,51,300,232,1125,368,83870,2196,81650,2128,950,31,1970,46,52420,67,10,16,25890,1287,285,167,675,531,825,350,85,81,500,281,2220,556,64675,1763,62935,1696,820,28,1655,43,38475,56,10,16,21740,933,230,141,525,487,295,188,65,51,300,232,1740,428,51,074
51075,"State House District 75 (2018), Virginia",Virginia,State House District 75 (2018),74430,1331,72935,1344,865,33,300,17,40375,63,0,29,31490,992,405,138,65,56,980,258,400,184,305,136,1495,288,60120,971,59270,973,770,30,215,17,32425,52,0,29,26085,697,335,106,50,53,320,123,375,163,145,80,850,175,75295,1315,73220,1345,865,33,485,20,40405,63,0,29,31560,987,405,138,65,56,980,258,400,184,305,136,2075,373,60910,952,59525,979,770,30,370,19,32460,52,0,29,26155,698,335,106,50,53,320,123,375,163,145,80,1385,238,51,075
51076,"State House District 76 (2018), Virginia",Virginia,State House District 76 (2018),88060,1466,83640,1389,600,31,2825,34,24130,65,4,1,55810,1181,190,108,925,260,860,320,285,155,560,262,4420,562,66955,1116,64275,1041,445,27,1940,28,18205,55,4,1,43655,858,130,60,360,157,390,186,205,131,240,143,2680,353,89080,1441,84505,1382,600,31,3260,35,24345,66,4,1,56030,1192,190,108,925,260,860,320,285,155,560,262,4580,562,67880,1071,65055,1021,445,27,2350,29,18390,55,4,1,43830,877,130,60,360,157,390,186,205,131,240,143,2825,349,51,076
51077,"State House District 77 (2018), Virginia",Virginia,State House District 77 (2018),77930,1592,73905,1535,855,41,1275,30,48625,73,25,27,23050,1033,355,197,285,109,980,313,265,270,340,179,4025,650,57175,1181,54955,1177,700,39,935,25,34905,63,25,27,18415,798,285,163,185,82,505,211,210,259,185,108,2220,358,80345,1528,74945,1556,870,41,1715,33,48935,73,25,27,23320,1044,355,197,285,109,980,313,265,270,340,179,5405,826,59190,1136,55865,1154,715,39,1275,27,35195,64,25,27,18680,793,285,163,185,81,505,211,210,259,185,108,3330,522,51,077
51078,"State House District 78 (2018), Virginia",Virginia,State House District 78 (2018),85860,1672,81235,1710,670,31,3850,39,15995,59,90,72,60155,1549,515,158,1035,306,900,356,70,79,550,248,4625,646,65915,1185,62885,1221,520,27,2825,33,12315,51,90,72,46900,1054,390,122,470,160,395,193,70,79,320,205,3030,428,87485,1643,82205,1672,670,31,4455,41,16005,59,90,72,60510,1561,515,158,1035,306,900,356,70,79,550,248,5280,715,67315,1124,63790,1181,520,27,3395,34,12320,51,90,72,47225,1065,390,122,470,160,395,193,70,79,320,205,3525,458,51,078
51079,"State House District 79 (2018), Virginia",Virginia,State House District 79 (2018),73045,2058,66785,2064,750,34,1905,32,24280,62,15,18,39430,1527,330,141,495,235,640,202,250,158,655,219,6260,572,59845,1808,55070,1723,615,31,1625,30,18935,54,15,18,33555,1362,290,133,345,170,410,161,190,118,510,173,4780,478,74560,2075,67890,2059,750,34,2455,34,24560,62,15,18,39695,1527,330,141,495,235,655,205,250,158,675,230,6670,618,61235,1787,56120,1724,615,31,2120,31,19205,54,15,18,33820,1364,290,133,345,170,420,163,190,118,530,179,5115,491,51,079
51080,"State House District 80 (2018), Virginia",Virginia,State House District 80 (2018),81290,1705,78645,1704,1125,43,1960,31,47200,83,265,334,28250,1233,290,128,345,145,1720,610,545,411,385,164,2645,446,62665,1113,60820,1125,885,39,1490,26,34730,67,120,160,23690,958,240,97,195,113,815,304,405,365,310,134,1845,347,82675,1703,79600,1702,1125,43,2390,32,47425,83,265,334,28505,1231,290,128,345,145,1720,610,545,411,435,176,3080,482,63890,1112,61615,1129,885,39,1775,27,34935,67,120,160,23945,948,240,97,195,113,815,304,405,365,360,136,2280,382,51,080
51081,"State House District 81 (2018), Virginia",Virginia,State House District 81 (2018),83105,2284,78235,2258,850,41,2925,40,15795,73,70,59,58545,1785,445,170,1515,440,975,347,240,321,295,151,4870,703,63785,1794,60480,1769,490,28,1755,31,11945,54,45,45,46105,1444,320,130,590,225,380,156,75,85,210,121,3305,525,85375,2335,79345,2262,850,41,3350,42,16000,73,70,59,59025,1794,445,170,1515,440,975,347,240,321,295,151,6030,826,65830,1782,61400,1742,490,28,2120,33,12110,54,45,45,46500,1447,320,130,590,225,380,156,75,85,210,121,4425,635,51,081
51082,"State House District 82 (2018), Virginia",Virginia,State House District 82 (2018),78455,1447,74600,1513,405,27,3150,39,9460,61,105,66,61165,1465,160,88,1130,367,1335,506,45,55,360,208,3855,551,62405,1213,59920,1275,300,24,2325,33,6745,49,105,66,50250,1184,150,79,645,229,410,215,45,55,240,140,2480,381,81265,1589,76965,1597,405,27,3760,42,9605,61,105,66,62760,1460,160,88,1170,372,1335,506,45,55,380,207,4295,618,64815,1290,61925,1314,300,24,2855,35,6835,48,105,66,51615,1160,150,79,665,228,410,215,45,55,260,139,2890,441,51,082
51083,"State House District 83 (2018), Virginia",Virginia,State House District 83 (2018),77335,1936,71645,1908,955,33,4275,40,11770,56,25,31,54180,1689,520,187,1045,329,1140,316,100,81,550,246,5690,689,61415,1450,57695,1454,750,30,3010,32,8870,45,25,31,44830,1320,410,158,420,160,285,137,90,68,305,143,3720,454,80825,2012,73475,1895,955,33,5075,42,11835,56,25,31,55130,1715,520,187,1045,330,1145,314,100,81,560,244,7350,1030,64595,1469,59270,1454,750,30,3745,34,8935,45,25,31,45590,1328,410,158,420,161,290,137,90,68,315,142,5325,777,51,083
51084,"State House District 84 (2018), Virginia",Virginia,State House District 84 (2018),76045,1618,70370,1630,840,37,5995,40,15935,66,80,72,47010,1348,235,113,1270,282,1395,388,340,180,855,322,5680,705,58005,1183,54210,1175,830,37,4625,35,11990,53,75,69,36565,1037,225,110,680,189,370,146,340,180,475,192,3795,476,79190,1368,72885,1474,840,37,7350,44,16200,66,80,72,47810,1381,235,113,1315,304,1395,388,340,180,950,358,6300,721,60740,1060,56360,1115,830,37,5730,37,12160,54,75,69,37345,1075,225,110,730,193,370,146,340,180,570,237,4380,529,51,084
51085,"State House District 85 (2018), Virginia",Virginia,State House District 85 (2018),81485,1734,75645,1746,675,31,6195,40,18245,54,70,57,49760,1433,415,188,995,238,965,288,30,30,730,283,5835,718,63470,1254,59390,1283,535,27,4760,35,13010,45,60,49,40515,1127,355,161,460,127,360,133,30,30,540,217,4080,475,84615,1748,77810,1743,675,31,7695,44,18625,53,70,57,50040,1434,415,188,1005,243,980,288,30,30,730,283,6805,791,66345,1315,61345,1332,535,27,6175,37,13275,45,60,49,40790,1134,355,161,470,130,375,136,30,30,540,217,5000,533,51,085
51086,"State House District 86 (2018), Virginia",Virginia,State House District 86 (2018),69245,2033,56800,1714,510,30,14115,46,6595,57,50,48,35415,1192,190,121,980,252,505,246,85,67,205,120,12445,1023,49975,1625,43630,1371,350,26,9720,39,4900,45,50,48,28575,991,110,65,505,154,215,120,65,52,110,73,6340,680,87640,1715,66220,1800,510,30,21145,52,7845,57,50,48,36560,1298,190,121,1040,269,505,246,85,67,205,120,21420,1438,65685,1353,51540,1420,350,26,15710,43,5910,46,50,48,29475,1051,110,65,545,170,215,120,65,52,110,73,14145,1129,51,086
