GEOID,NAME,STATE,DIST,C_TOT19,CTOTMOE,C_NHS19,CNHSMOE,C_AIA19,CAIAMOE,C_ASN19,CASNMOE,C_BLK19,CBLKMOE,C_NHP19,CNHPMOE,C_WHT19,CWHTMOE,C_AIW19,CAIWMOE,C_ASW19,CASWMOE,C_BLW19,CBLWMOE,C_AIB19,CAIBMOE,C_2OM19,C2OMMOE,C_HSP19,CHSPMOE,CVAP_TOT19,CVAPTOTMOE,CVAP_NHS19,CVAPNHSMOE,CVAP_AIA19,CVAPAIAMOE,CVAP_ASN19,CVAPASNMOE,CVAP_BLK19,CVAPBLKMOE,CVAP_NHP19,CVAPNHPMOE,CVAP_WHT19,CVAPWHTMOE,CVAP_AIW19,CVAPAIWMOE,CVAP_ASW19,CVAPASWMOE,CVAP_BLW19,CVAPBLWMOE,CVAP_AIB19,CVAPAIBMOE,CVAP_2OM19,CVAP2OMMOE,CVAP_HSP19,CVAPHSPMOE,ALL_TOT19,ALLTOTMOE,ALL_NHS19,ALLNHSMOE,ALL_AIA19,ALLAIAMOE,ALL_ASN19,ALLASNMOE,ALL_BLK19,ALLBLKMOE,ALL_NHP19,ALLNHPMOE,ALL_WHT19,ALLWHTMOE,ALL_AIW19,ALLAIWMOE,ALL_ASW19,ALLASWMOE,ALL_BLW19,ALLBLWMOE,ALL_AIB19,ALLAIBMOE,ALL_2OM19,ALL2OMMOE,ALL_HSP19,ALLHSPMOE,VAP_TOT19,VAPTOTMOE,VAP_NHS19,VAPNHSMOE,VAP_AIA19,VAPAIAMOE,VAP_ASN19,VAPASNMOE,VAP_BLK19,VAPBLKMOE,VAP_NHP19,VAPNHPMOE,VAP_WHT19,VAPWHTMOE,VAP_AIW19,VAPAIWMOE,VAP_ASW19,VAPASWMOE,VAP_BLW19,VAPBLWMOE,VAP_AIB19,VAPAIBMOE,VAP_2OM19,VAP2OMMOE,VAP_HSP19,VAPHSPMOE,STATEFP,SLDL
51011,"State House District 11 (2018), Virginia",Virginia,State House District 11 (2018),77085,1301,73290,1299,510,30,1750,33,26735,61,20,40,43475,1078,230,99,380,185,1310,465,90,104,890,762,3800,496,60240,820,58205,835,390,27,1355,31,19550,47,20,40,36560,678,135,61,255,161,470,239,80,87,410,267,2035,316,81110,1175,75590,1136,520,30,2895,41,27495,61,20,40,43855,1084,240,101,575,401,1310,465,90,104,895,763,5520,436,63565,703,60080,702,400,27,2275,33,20130,47,20,40,36915,690,145,66,365,185,470,239,80,87,415,268,3485,208,51,011
51012,"State House District 12 (2018), Virginia",Virginia,State House District 12 (2018),79060,1171,76925,1185,264,20,3350,33,4304,35,35,45,68745,1187,75,49,535,177,365,175,4,6,245,142,2135,269,67620,1082,66040,1057,209,18,2570,30,3749,32,35,45,59270,979,75,49,315,119,205,131,4,6,220,149,1585,223,83475,975,80960,986,264,20,6215,35,4474,35,45,45,69695,1090,75,49,675,192,365,175,4,6,275,174,2515,288,71880,859,69915,846,209,18,5400,31,3919,31,35,45,60110,904,75,49,450,138,205,131,4,6,250,186,1965,245,51,012
51013,"State House District 13 (2018), Virginia",Virginia,State House District 13 (2018),82985,1813,65080,1785,340,28,9675,43,13365,56,4,11,41150,1310,185,96,1045,280,1285,385,20,33,560,244,17905,1199,57300,1351,48180,1303,220,23,6770,36,9590,45,4,11,31290,933,135,77,330,142,455,172,20,33,320,171,9120,816,97105,1884,69650,1711,340,28,11895,46,14250,56,4,11,42555,1325,185,96,1110,310,1285,385,20,33,620,270,27455,1495,70205,1313,52430,1236,220,23,8795,40,10400,45,4,11,32655,905,135,77,395,191,455,172,20,33,375,205,17775,1020,51,013
51014,"State House District 14 (2018), Virginia",Virginia,State House District 14 (2018),75470,1082,73045,1113,875,31,595,17,28380,59,35,34,43110,989,385,120,60,38,765,292,455,241,515,268,2425,504,59620,823,58600,842,730,28,340,15,21635,47,20,22,35935,764,355,118,35,30,365,162,340,162,275,147,1020,233,76730,1093,73525,1122,875,31,980,17,28415,59,35,34,43155,992,385,120,60,38,765,292,455,241,525,270,3205,517,60810,839,59070,843,730,28,715,14,21670,47,20,22,35980,765,355,118,35,30,365,162,340,162,285,148,1740,222,51,014
51015,"State House District 15 (2018), Virginia",Virginia,State House District 15 (2018),80365,1091,77045,985,520,27,415,21,2200,38,20,40,73805,960,330,91,150,124,800,186,65,84,145,112,3320,288,63465,734,61700,628,465,28,345,18,1345,33,20,40,59500,624,285,106,80,71,150,98,65,84,90,78,1765,244,81890,1052,77610,977,520,27,720,23,2280,38,20,40,73985,972,330,91,150,124,805,182,65,84,150,115,4280,266,64845,687,62145,623,465,28,525,19,1425,33,20,40,59680,626,285,106,80,71,155,98,65,84,95,81,2695,192,51,015
51016,"State House District 16 (2018), Virginia",Virginia,State House District 16 (2018),74470,1238,71935,1291,630,31,285,18,20915,59,35,44,50045,1125,290,109,80,58,1095,322,225,168,245,126,2540,456,59175,905,57840,924,510,27,200,16,16150,44,35,44,40975,771,260,102,40,47,345,130,150,83,115,65,1340,266,75595,1252,72260,1286,630,31,390,18,21055,59,35,44,50130,1127,290,109,80,58,1100,322,225,168,245,126,3335,517,60185,937,58145,937,510,27,305,16,16265,44,35,44,41060,774,260,102,40,47,345,129,150,83,115,65,2040,255,51,016
51017,"State House District 17 (2018), Virginia",Virginia,State House District 17 (2018),80460,1423,78390,1345,360,24,1860,29,7455,50,10,20,68425,1285,185,84,130,86,1140,358,0,29,270,242,2070,456,63665,900,62565,872,285,22,1350,26,4970,38,10,20,55830,814,130,70,80,62,245,130,0,29,115,95,1105,262,82855,1417,79850,1370,360,24,2655,32,7655,50,10,20,68895,1270,185,84,155,109,1140,358,0,29,270,242,3005,537,65840,866,63915,847,285,22,2035,29,5170,37,10,20,56300,810,130,70,105,93,245,130,0,29,115,95,1920,265,51,017
51018,"State House District 18 (2018), Virginia",Virginia,State House District 18 (2018),80585,1335,76440,1294,595,25,1610,31,6285,41,15,21,67810,1343,240,74,420,172,885,215,0,29,130,108,4145,520,61640,1094,59410,1038,515,24,1090,27,4515,36,15,21,53215,1018,205,66,175,77,265,134,0,29,60,53,2230,364,83605,1445,77535,1325,595,25,2025,31,6415,42,15,21,68325,1353,240,74,445,177,885,215,0,29,165,123,6070,595,64510,1139,60405,1056,515,24,1460,26,4630,36,15,21,53690,1028,205,66,205,83,265,134,0,29,95,77,4110,363,51,018
51019,"State House District 19 (2018), Virginia",Virginia,State House District 19 (2018),78465,850,77505,830,395,23,390,20,5570,38,20,26,70970,878,345,123,170,98,545,166,0,29,160,113,960,168,63340,755,62695,753,260,23,280,18,4200,32,10,15,57830,736,210,114,85,66,140,73,0,29,115,79,645,137,78930,856,77755,850,395,23,445,21,5625,38,20,26,71110,895,345,123,190,105,545,166,0,29,160,113,1175,164,63780,762,62945,775,260,23,330,19,4255,32,10,15,57975,748,210,114,105,73,140,73,0,29,115,79,840,146,51,019
51020,"State House District 20 (2018), Virginia",Virginia,State House District 20 (2018),79295,1035,76495,1050,380,22,520,21,7635,43,130,126,67675,951,205,94,150,99,995,255,0,29,150,113,2800,323,63270,811,61750,803,320,22,420,18,5400,34,80,95,55450,736,185,99,95,60,260,102,0,29,75,60,1520,259,80855,944,77470,965,380,22,950,23,7865,44,130,126,68000,939,205,94,150,99,1060,301,0,29,150,113,3385,266,64685,743,62580,744,320,22,765,21,5580,36,80,95,55755,712,185,99,95,60,325,161,0,29,75,60,2105,199,51,020
